resp.id,policytypeban,policytypesubsidies,policytypetax,cost4,cost9,cost14,cost19,year2025,year2035,year2045,year2055,distance2,distance5,distance10,distance50,orgccc,orgdp,orggreenpeace,orgrp,noneTRUE,noneFALSE,adopters
2,0.961862831,-0.530281201,-0.43158163,6.250736455,1.440144452,-2.446090925,-5.244789982,1.280468073,1.191047803,-1.050155261,-1.421360616,-2.202761417,0.116652019,0.27078,1.815329399,1.735712821,1.169149631,1.199811661,-4.104674112,-1.503638392,1.503638392,14.38135105
3,0.734139966,-0.509391253,-0.224748713,4.89661785,2.128127407,-1.31846972,-5.706275537,-0.637251379,1.150056066,-0.660268905,0.147464218,-1.266702546,-0.123583477,0.212231606,1.178054417,0.056047964,0.82136178,1.736565504,-2.613975248,-0.805071522,0.805071522,15.05568104
4,0.747513193,-0.355703212,-0.391809981,4.85804029,0.757285016,-2.210992785,-3.404332521,2.855295809,-1.193352042,1.42026103,-3.082204797,0.225591492,0.925453536,-0.68396816,-0.467076869,0.558860027,1.559723146,1.209813637,-3.32839681,-1.261961212,1.261961212,10.76703284
5,1.280573597,-1.386669309,0.106095711,5.58504992,1.296790294,-2.004434475,-4.877405739,1.836544441,0.641783873,-0.466620176,-2.011708138,-0.603310336,0.35042011,0.514939549,-0.262049323,0.85115289,1.991861854,2.333119389,-5.176134133,-2.146650952,2.146650952,13.8940268
6,-0.994056906,1.100618359,-0.106561453,6.25308578,1.475892596,-2.27963307,-5.449345306,0.371435462,0.258551514,0.951170435,-1.581157411,-1.014984026,-0.200937013,0.044936919,1.17098412,-0.43701985,-1.580202648,-1.053868523,3.071091021,-3.537946647,3.537946647,10.2470447
8,-0.757595762,0.982290209,-0.224694448,7.182509328,2.957290799,-3.643237338,-6.496562789,1.309490423,1.150453141,-0.524834014,-1.935109551,-1.409938873,0.616551375,0.516914262,0.276473236,-0.193405518,-0.077739441,-0.550265535,0.821410494,-2.074598447,2.074598447,11.51398072
9,1.593245283,-1.121704606,-0.471540677,5.785184235,1.972825258,-2.268573044,-5.489436449,2.69015387,1.156719782,-0.617261567,-3.229612085,-1.371553123,0.551655651,-0.21110461,1.031002082,1.673051181,2.31278553,2.930368294,-6.916205004,-0.615372185,0.615372185,15.14914054
13,-0.036452794,-1.81213091,1.848583703,6.30800281,2.372405792,-2.599567094,-6.080841508,1.339631964,0.704835309,-0.020576442,-2.02389083,-0.968235737,0.169664684,0.019550551,0.779020502,0.15542736,0.572240961,1.924841407,-2.652509728,-1.199704988,1.199704988,11.62969678
15,1.028573498,-0.762901179,-0.26567232,6.354334346,1.344812048,-3.655430753,-4.043715641,2.048470952,1.435006122,0.239444775,-3.722921849,-2.331599032,1.741158385,-0.098577128,0.689017775,1.360950997,0.424802328,2.262602447,-4.048355772,-0.957247183,0.957247183,9.514707201
16,-1.025817843,0.745915108,0.279902735,6.504780487,3.467598816,-3.224568635,-6.747810668,1.899437188,0.031501195,-0.038786477,-1.892151905,-2.438253692,0.639985719,0.558233414,1.240034559,0.03404273,0.825466834,0.309055041,-1.168564604,-2.493533752,2.493533752,11.83788689
18,-0.922053258,-0.323265734,1.245318993,6.648764582,0.898558633,-1.532876639,-6.014446576,0.188847532,0.031156184,1.037789953,-1.257793669,-0.572993508,0.165142559,-0.00552638,0.41337733,1.052836982,0.59926756,-0.300646011,-1.351458531,-0.951193606,0.951193606,9.779369471
19,0.553163623,-0.816527994,0.263364371,6.124924628,2.006953974,-1.61340735,-6.518471252,1.009489705,0.771288516,0.065624103,-1.846402323,-2.23030633,-0.067999017,1.685179589,0.613125758,1.051229163,0.923504871,1.946810725,-3.921544759,-0.87440707,0.87440707,15.32805097
21,-0.637596259,-0.509510232,1.147106491,6.032705821,2.334185073,-1.785851825,-6.581039069,0.558137523,0.442066877,0.357407704,-1.357612104,-0.76886662,-0.001963288,-0.335785876,1.106615784,0.531021415,0.739674564,0.328987308,-1.599683288,-1.434453418,1.434453418,13.37661642
23,0.053722729,0.573472792,-0.627195521,5.833911816,1.181607778,-2.352509592,-4.663010002,0.149070799,-0.515775496,0.682094686,-0.315389989,0.52229198,-0.76242125,0.016016704,0.224112566,1.286357291,-3.242021393,-2.752900304,4.708564406,-2.941861349,2.941861349,2.511719439
24,-0.384710399,0.15347154,0.231238859,6.064623642,2.89180084,-1.517017347,-7.439407135,0.618562859,0.984466922,0.935092542,-2.538122324,-1.762063727,0.667681212,0.646734163,0.447648352,2.002140464,0.334276544,0.575079278,-2.911496286,-0.354654377,0.354654377,11.5465107
25,0.765676536,-2.762570668,1.996894132,4.015211359,0.886557928,-1.14977922,-3.751990067,1.331490564,0.891186629,0.537484635,-2.760161828,0.972048876,0.10077193,-0.252332813,-0.820487994,1.798255935,2.09359051,2.360477019,-6.252323464,0.071774544,-0.071774544,12.35066317
26,1.313606149,-1.086653879,-0.22695227,5.723017999,2.051863069,-2.301845248,-5.47303582,1.048350845,0.479758007,-0.140239101,-1.387869751,-1.480950593,-0.563294935,-0.113755099,2.158000627,-0.197014032,2.06528001,3.030137514,-4.898403492,-1.017471421,1.017471421,14.26985452
27,-0.161124624,0.478000309,-0.316875685,5.36522352,1.954555557,-2.022629617,-5.29714946,2.52670561,0.123692978,-0.033298722,-2.617099865,-1.00501901,1.483754911,-0.332131309,-0.146604592,-0.076468662,0.658182516,3.060253985,-3.641967839,-1.541185039,1.541185039,14.50344831
28,-1.052396513,0.229413281,0.822983232,6.049377773,1.420312001,-2.301604465,-5.168085309,-0.029041751,0.638013068,-0.414218395,-0.194752922,-0.86110805,-0.701234557,1.018664025,0.543678583,0.76461116,-1.872195234,-2.646639496,3.75422357,-4.11618299,4.11618299,6.363218197
29,0.199538048,-0.671474832,0.471936784,6.640769974,2.12820367,-2.523598063,-6.245375581,0.530773726,0.827743949,0.126323365,-1.484841039,-0.72841849,0.176867879,-0.043523684,0.595074295,0.221526656,0.578288062,0.937173251,-1.73698797,-1.362521824,1.362521824,12.77070145
32,0.166824808,0.181771625,-0.348596433,5.689715243,1.833071556,-2.041195227,-5.481591572,1.322349839,0.16936575,0.007934057,-1.499649647,-0.702599118,-0.201787546,-0.446495547,1.350882211,1.116693509,-1.105445491,-0.669082655,0.657834637,-2.154719442,2.154719442,9.145074883
33,0.044876557,0.437673054,-0.482549612,5.57665986,2.141706738,-0.034372852,-7.683993746,0.643983023,1.123388871,0.184437679,-1.951809573,-2.87282668,0.803447545,0.879228318,1.190150817,1.547701799,2.026901841,1.618856983,-5.193460624,-0.556088771,0.556088771,11.52291591
34,0.228080129,-0.016233619,-0.211846509,6.848228994,2.076726053,-2.402090857,-6.52286419,1.094360628,0.922554291,-0.216849326,-1.800065592,-2.130906569,0.519684694,0.323714705,1.287507169,0.386884198,2.059417645,3.028508611,-5.474810454,-1.02625535,1.02625535,14.96151853
