resp.id,policytypeban,policytypesubsidies,policytypetax,cost4,cost9,cost14,cost19,year2025,year2035,year2045,year2055,distance2,distance5,distance10,distance50,orgccc,orgdp,orggreenpeace,orgrp,noneTRUE,noneFALSE,adopters
2,1.296439184,-0.874625833,-0.421813351,6.188921151,1.488029762,-1.494636159,-6.182314753,2.931758888,0.574781704,-0.332001713,-3.174538879,-1.878713489,0.563409053,0.460548443,0.854755993,2.28946641,-0.382807045,2.505443269,-4.412102633,-4.403103722,4.403103722,12.4479314
3,1.083412392,-0.776038127,-0.307374265,7.446354966,1.508830616,-2.082391613,-6.872793968,1.325725274,1.129100051,0.082322037,-2.537147362,-0.786805833,-0.043028578,0.974334312,-0.144499902,0.684618647,0.496899399,3.290603221,-4.472121267,-4.552890403,4.552890403,12.97123446
4,0.468802401,-0.680910603,0.212108202,4.786010003,1.370777906,-1.404977174,-4.751810736,3.902119493,0.467783164,-1.164891487,-3.205011169,-0.591489213,-0.235728801,0.5426062,0.284611814,-0.350094941,1.745036901,3.946235123,-5.341177084,-4.592488659,4.592488659,12.25339618
5,1.253744292,-0.207013999,-1.046730294,6.367234434,1.203873217,-1.831728973,-5.739378678,2.624060212,0.735405176,-0.67063367,-2.688831719,-0.874927774,0.336031302,1.095508628,-0.556612156,0.602171698,-0.537930022,4.263184146,-4.327425823,-4.57017141,4.57017141,12.32956742
6,0.425637868,-1.402941212,0.977303344,2.585128318,1.097763779,-0.299367994,-3.383524103,-0.355331139,0.544023405,0.226146067,-0.414838333,-0.292815103,-0.145040582,-0.339897919,0.777753605,-0.022918499,-1.454311764,-2.710773067,4.18800333,-5.193426703,5.193426703,5.954016217
8,0.087627536,-0.738740606,0.651113069,2.546749617,1.044783996,-0.658041352,-2.933492261,0.280625786,0.206695158,-0.090064169,-0.397256775,-0.635111788,-0.43119071,0.288904428,0.77739807,-0.190173753,-0.338882681,-1.139993251,1.669049685,-6.170948285,6.170948285,4.555926709
9,0.841145435,0.151961402,-0.993106837,8.621986487,1.709055631,-3.591606749,-6.739435369,2.227792126,1.268507932,-0.489304906,-3.006995153,-1.310344591,-0.070873607,0.767344449,0.613873748,1.959916589,-0.888780607,3.951198194,-5.022334177,-3.326334848,3.326334848,13.69874661
13,0.336654995,-0.123033751,-0.213621244,5.239729175,1.636282574,-1.481576026,-5.394435723,1.535214371,1.443243845,-0.147729425,-2.830728791,-1.095957382,0.358726557,0.312615975,0.42461485,0.85361658,0.02675103,0.772490932,-1.652858542,-5.059647711,5.059647711,12.45635167
15,0.438261241,0.464479657,-0.902740898,5.867177286,2.298493946,-3.002004054,-5.163667178,1.82187661,0.006832208,-0.547474217,-1.281234602,-0.844138524,0.095492737,1.199455596,-0.450809809,-0.11120284,0.148967004,3.648332658,-3.686096821,-4.755075391,4.755075391,9.869896767
16,0.273526156,-0.336484646,0.062958491,6.28161182,2.145540215,-2.099892562,-6.327259473,2.926771627,0.348720777,-0.318339351,-2.957153052,-1.834462553,1.293077729,0.353550684,0.187834141,1.402700341,-0.940152965,1.351329753,-1.813877129,-3.315702419,3.315702419,13.08880425
18,-0.231035804,0.556321094,-0.325285291,3.985876536,1.74331415,-1.20003735,-4.529153336,1.405506572,-0.416097344,-0.14384879,-0.845560439,-2.0518496,0.119803797,1.103465486,0.828580317,2.476199066,-1.44546341,-0.679547151,-0.351188505,-3.79125599,3.79125599,6.628460855
19,0.194867567,-0.579795318,0.384927751,5.559739817,2.069878343,-1.975930486,-5.653687673,2.052087987,0.137421862,0.421340558,-2.610850407,-2.124079016,0.04044648,1.193669407,0.889963128,0.989195983,-1.261039575,1.835470338,-1.563626745,-4.438560045,4.438560045,10.53962705
21,1.350454965,-0.957209682,-0.393245283,5.442343534,1.910863792,-1.110590218,-6.242617109,1.548783144,1.199237374,-0.044011051,-2.704009466,-0.680656442,0.171473137,0.525254743,-0.016071438,1.091435409,0.241948823,1.138658761,-2.472042994,-4.774648798,4.774648798,12.72594814
23,1.586919402,0.031931638,-1.618851039,4.850209521,2.226142771,-2.445802887,-4.630549405,0.387880965,0.196443666,1.319188346,-1.903512976,-1.591714147,-1.079912611,0.234788393,2.436838365,2.249142249,-2.546918957,-0.60540468,0.903181388,-4.01732061,4.01732061,5.013443449
24,1.362303829,-0.934113538,-0.428190291,5.208113686,2.106483503,-1.554578735,-5.760018454,2.872853575,0.27348671,-0.34524321,-2.801097076,-0.960073514,0.206835957,0.469234547,0.28400301,2.349127154,-1.280655789,2.667304692,-3.735776057,-4.303386987,4.303386987,13.26627261
25,1.487466481,-0.354568131,-1.132898351,6.433458693,1.443666016,-1.877417355,-5.999707354,2.133087158,0.93223962,0.247085219,-3.312411997,-1.380959989,0.640885061,0.364128273,0.375946655,2.852338169,-1.886261637,3.442341447,-4.408417978,-3.712592572,3.712592572,14.88896405
26,1.518175912,-0.472319265,-1.045856647,7.279004016,0.397142824,-2.806758583,-4.869388257,1.382468312,1.1610272,-0.548365962,-1.99512955,-0.594882201,-1.538216194,0.137406323,1.995692073,0.837012972,-0.17431713,3.456104521,-4.118800363,-4.193717104,4.193717104,9.453456536
27,1.58138067,-0.811050798,-0.770329872,4.510220464,0.698706599,0.309647225,-5.518574288,2.747587775,0.445222993,-1.541261762,-1.651549006,-0.697083283,-1.351186846,1.193170166,0.855099963,-1.202133896,2.617264176,3.046157828,-4.461288108,-3.926228297,3.926228297,10.11001809
28,0.068007681,-0.645866662,0.577858981,2.973883405,1.190890574,-0.947186166,-3.217587813,0.434203699,0.199687572,-0.075162112,-0.558729159,-0.664466323,-0.443713322,0.409951372,0.698228272,0.150581059,-0.067755704,-1.219031716,1.136206361,-6.178218689,6.178218689,5.025466721
29,0.467367539,-0.651790216,0.184422677,6.029619389,1.001448582,-1.862035049,-5.169032922,1.01160219,0.914400988,-0.104615922,-1.821387256,-0.046249919,0.151698761,-0.031492396,-0.073956446,1.084171429,-0.318041475,-0.192192668,-0.573937286,-5.022293487,5.022293487,10.3388025
32,-0.295906308,-0.907848548,1.203754855,1.9314943,0.369867646,-0.494315681,-1.807046265,2.156738607,0.203326161,-0.920494774,-1.439569994,-0.459656373,-0.467717887,1.094463158,-0.167088898,-0.906225402,0.204022049,1.605311842,-0.903108489,-5.691050038,5.691050038,7.335188628
33,0.141864071,-0.143349882,0.001485812,5.648794369,1.316026169,-1.951074525,-5.013746012,0.319202638,0.780829937,1.053947459,-2.153980034,-1.414662109,-0.113415761,-0.154478893,1.682556763,0.822444666,-0.965749978,1.640456224,-1.497150912,-5.682325132,5.682325132,9.759646342
34,1.187622148,-0.303449622,-0.884172526,6.453347757,2.426416957,-3.047598827,-5.832165887,3.023898565,0.871774689,-0.61032105,-3.285352204,-2.057967418,-0.005546514,0.873062376,1.190451556,1.146757441,-0.605418218,3.327991051,-3.869330274,-4.254632593,4.254632593,10.79320491
35,0.515064938,-0.273165227,-0.241899711,5.267754962,0.431872759,-0.044166389,-5.655461332,1.686355302,0.799003408,-0.083799366,-2.401559345,-1.118449082,-0.93031887,1.935307611,0.113460341,0.274969968,1.791805668,1.092314311,-3.159089947,-4.177796572,4.177796572,10.61304233
36,0.523860137,-1.276496213,0.752636076,4.335968282,1.715213157,-1.460681211,-4.590500227,1.090833488,0.261372408,-0.354106479,-0.998099417,-0.860119586,-0.150741735,0.624517133,0.386344189,0.878289287,-1.113069708,1.042014404,-0.807233983,-5.767394487,5.767394487,9.318340732
38,0.427258568,0.507733765,-0.934992332,3.97650806,0.785963059,-0.979983759,-3.78248736,1.998246267,1.034075606,-0.920733455,-2.111588418,-1.148040475,-0.857356226,0.654880075,1.350516626,-1.576725335,1.149167151,6.081892833,-5.65433465,-3.617866697,3.617866697,14.5616126
