wrong_name,correct_name
ban|4|2025|2|ccc,tax|19|2055|50|rp
subsidies|4|2025|2|ccc,ban|19|2055|50|rp
tax|4|2025|2|ccc,subsidies|19|2055|50|rp
ban|9|2025|2|ccc,tax|4|2055|50|rp
subsidies|9|2025|2|ccc,ban|4|2055|50|rp
tax|9|2025|2|ccc,subsidies|4|2055|50|rp
ban|14|2025|2|ccc,tax|9|2055|50|rp
subsidies|14|2025|2|ccc,ban|9|2055|50|rp
tax|14|2025|2|ccc,subsidies|9|2055|50|rp
ban|19|2025|2|ccc,tax|14|2055|50|rp
subsidies|19|2025|2|ccc,ban|14|2055|50|rp
tax|19|2025|2|ccc,subsidies|14|2055|50|rp
ban|4|2035|2|ccc,tax|19|2025|50|rp
subsidies|4|2035|2|ccc,ban|19|2025|50|rp
tax|4|2035|2|ccc,subsidies|19|2025|50|rp
ban|9|2035|2|ccc,tax|4|2025|50|rp
subsidies|9|2035|2|ccc,ban|4|2025|50|rp
tax|9|2035|2|ccc,subsidies|4|2025|50|rp
ban|14|2035|2|ccc,tax|9|2025|50|rp
subsidies|14|2035|2|ccc,ban|9|2025|50|rp
tax|14|2035|2|ccc,subsidies|9|2025|50|rp
ban|19|2035|2|ccc,tax|14|2025|50|rp
subsidies|19|2035|2|ccc,ban|14|2025|50|rp
tax|19|2035|2|ccc,subsidies|14|2025|50|rp
ban|4|2045|2|ccc,tax|19|2035|50|rp
subsidies|4|2045|2|ccc,ban|19|2035|50|rp
tax|4|2045|2|ccc,subsidies|19|2035|50|rp
ban|9|2045|2|ccc,tax|4|2035|50|rp
subsidies|9|2045|2|ccc,ban|4|2035|50|rp
tax|9|2045|2|ccc,subsidies|4|2035|50|rp
ban|14|2045|2|ccc,tax|9|2035|50|rp
subsidies|14|2045|2|ccc,ban|9|2035|50|rp
tax|14|2045|2|ccc,subsidies|9|2035|50|rp
ban|19|2045|2|ccc,tax|14|2035|50|rp
subsidies|19|2045|2|ccc,ban|14|2035|50|rp
tax|19|2045|2|ccc,subsidies|14|2035|50|rp
ban|4|2055|2|ccc,tax|19|2045|50|rp
subsidies|4|2055|2|ccc,ban|19|2045|50|rp
tax|4|2055|2|ccc,subsidies|19|2045|50|rp
ban|9|2055|2|ccc,tax|4|2045|50|rp
subsidies|9|2055|2|ccc,ban|4|2045|50|rp
tax|9|2055|2|ccc,subsidies|4|2045|50|rp
ban|14|2055|2|ccc,tax|9|2045|50|rp
subsidies|14|2055|2|ccc,ban|9|2045|50|rp
tax|14|2055|2|ccc,subsidies|9|2045|50|rp
ban|19|2055|2|ccc,tax|14|2045|50|rp
subsidies|19|2055|2|ccc,ban|14|2045|50|rp
tax|19|2055|2|ccc,subsidies|14|2045|50|rp
ban|4|2025|5|ccc,tax|19|2055|2|rp
subsidies|4|2025|5|ccc,ban|19|2055|2|rp
tax|4|2025|5|ccc,subsidies|19|2055|2|rp
ban|9|2025|5|ccc,tax|4|2055|2|rp
subsidies|9|2025|5|ccc,ban|4|2055|2|rp
tax|9|2025|5|ccc,subsidies|4|2055|2|rp
ban|14|2025|5|ccc,tax|9|2055|2|rp
subsidies|14|2025|5|ccc,ban|9|2055|2|rp
tax|14|2025|5|ccc,subsidies|9|2055|2|rp
ban|19|2025|5|ccc,tax|14|2055|2|rp
subsidies|19|2025|5|ccc,ban|14|2055|2|rp
tax|19|2025|5|ccc,subsidies|14|2055|2|rp
ban|4|2035|5|ccc,tax|19|2025|2|rp
subsidies|4|2035|5|ccc,ban|19|2025|2|rp
tax|4|2035|5|ccc,subsidies|19|2025|2|rp
ban|9|2035|5|ccc,tax|4|2025|2|rp
subsidies|9|2035|5|ccc,ban|4|2025|2|rp
tax|9|2035|5|ccc,subsidies|4|2025|2|rp
ban|14|2035|5|ccc,tax|9|2025|2|rp
subsidies|14|2035|5|ccc,ban|9|2025|2|rp
tax|14|2035|5|ccc,subsidies|9|2025|2|rp
ban|19|2035|5|ccc,tax|14|2025|2|rp
subsidies|19|2035|5|ccc,ban|14|2025|2|rp
tax|19|2035|5|ccc,subsidies|14|2025|2|rp
ban|4|2045|5|ccc,tax|19|2035|2|rp
subsidies|4|2045|5|ccc,ban|19|2035|2|rp
tax|4|2045|5|ccc,subsidies|19|2035|2|rp
ban|9|2045|5|ccc,tax|4|2035|2|rp
subsidies|9|2045|5|ccc,ban|4|2035|2|rp
tax|9|2045|5|ccc,subsidies|4|2035|2|rp
ban|14|2045|5|ccc,tax|9|2035|2|rp
subsidies|14|2045|5|ccc,ban|9|2035|2|rp
tax|14|2045|5|ccc,subsidies|9|2035|2|rp
ban|19|2045|5|ccc,tax|14|2035|2|rp
subsidies|19|2045|5|ccc,ban|14|2035|2|rp
tax|19|2045|5|ccc,subsidies|14|2035|2|rp
ban|4|2055|5|ccc,tax|19|2045|2|rp
subsidies|4|2055|5|ccc,ban|19|2045|2|rp
tax|4|2055|5|ccc,subsidies|19|2045|2|rp
ban|9|2055|5|ccc,tax|4|2045|2|rp
subsidies|9|2055|5|ccc,ban|4|2045|2|rp
tax|9|2055|5|ccc,subsidies|4|2045|2|rp
ban|14|2055|5|ccc,tax|9|2045|2|rp
subsidies|14|2055|5|ccc,ban|9|2045|2|rp
tax|14|2055|5|ccc,subsidies|9|2045|2|rp
ban|19|2055|5|ccc,tax|14|2045|2|rp
subsidies|19|2055|5|ccc,ban|14|2045|2|rp
tax|19|2055|5|ccc,subsidies|14|2045|2|rp
ban|4|2025|10|ccc,tax|19|2055|5|rp
subsidies|4|2025|10|ccc,ban|19|2055|5|rp
tax|4|2025|10|ccc,subsidies|19|2055|5|rp
ban|9|2025|10|ccc,tax|4|2055|5|rp
subsidies|9|2025|10|ccc,ban|4|2055|5|rp
tax|9|2025|10|ccc,subsidies|4|2055|5|rp
ban|14|2025|10|ccc,tax|9|2055|5|rp
subsidies|14|2025|10|ccc,ban|9|2055|5|rp
tax|14|2025|10|ccc,subsidies|9|2055|5|rp
ban|19|2025|10|ccc,tax|14|2055|5|rp
subsidies|19|2025|10|ccc,ban|14|2055|5|rp
tax|19|2025|10|ccc,subsidies|14|2055|5|rp
ban|4|2035|10|ccc,tax|19|2025|5|rp
subsidies|4|2035|10|ccc,ban|19|2025|5|rp
tax|4|2035|10|ccc,subsidies|19|2025|5|rp
ban|9|2035|10|ccc,tax|4|2025|5|rp
subsidies|9|2035|10|ccc,ban|4|2025|5|rp
tax|9|2035|10|ccc,subsidies|4|2025|5|rp
ban|14|2035|10|ccc,tax|9|2025|5|rp
subsidies|14|2035|10|ccc,ban|9|2025|5|rp
tax|14|2035|10|ccc,subsidies|9|2025|5|rp
ban|19|2035|10|ccc,tax|14|2025|5|rp
subsidies|19|2035|10|ccc,ban|14|2025|5|rp
tax|19|2035|10|ccc,subsidies|14|2025|5|rp
ban|4|2045|10|ccc,tax|19|2035|5|rp
subsidies|4|2045|10|ccc,ban|19|2035|5|rp
tax|4|2045|10|ccc,subsidies|19|2035|5|rp
ban|9|2045|10|ccc,tax|4|2035|5|rp
subsidies|9|2045|10|ccc,ban|4|2035|5|rp
tax|9|2045|10|ccc,subsidies|4|2035|5|rp
ban|14|2045|10|ccc,tax|9|2035|5|rp
subsidies|14|2045|10|ccc,ban|9|2035|5|rp
tax|14|2045|10|ccc,subsidies|9|2035|5|rp
ban|19|2045|10|ccc,tax|14|2035|5|rp
subsidies|19|2045|10|ccc,ban|14|2035|5|rp
tax|19|2045|10|ccc,subsidies|14|2035|5|rp
ban|4|2055|10|ccc,tax|19|2045|5|rp
subsidies|4|2055|10|ccc,ban|19|2045|5|rp
tax|4|2055|10|ccc,subsidies|19|2045|5|rp
ban|9|2055|10|ccc,tax|4|2045|5|rp
subsidies|9|2055|10|ccc,ban|4|2045|5|rp
tax|9|2055|10|ccc,subsidies|4|2045|5|rp
ban|14|2055|10|ccc,tax|9|2045|5|rp
subsidies|14|2055|10|ccc,ban|9|2045|5|rp
tax|14|2055|10|ccc,subsidies|9|2045|5|rp
ban|19|2055|10|ccc,tax|14|2045|5|rp
subsidies|19|2055|10|ccc,ban|14|2045|5|rp
tax|19|2055|10|ccc,subsidies|14|2045|5|rp
ban|4|2025|50|ccc,tax|19|2055|10|rp
subsidies|4|2025|50|ccc,ban|19|2055|10|rp
tax|4|2025|50|ccc,subsidies|19|2055|10|rp
ban|9|2025|50|ccc,tax|4|2055|10|rp
subsidies|9|2025|50|ccc,ban|4|2055|10|rp
tax|9|2025|50|ccc,subsidies|4|2055|10|rp
ban|14|2025|50|ccc,tax|9|2055|10|rp
subsidies|14|2025|50|ccc,ban|9|2055|10|rp
tax|14|2025|50|ccc,subsidies|9|2055|10|rp
ban|19|2025|50|ccc,tax|14|2055|10|rp
subsidies|19|2025|50|ccc,ban|14|2055|10|rp
tax|19|2025|50|ccc,subsidies|14|2055|10|rp
ban|4|2035|50|ccc,tax|19|2025|10|rp
subsidies|4|2035|50|ccc,ban|19|2025|10|rp
tax|4|2035|50|ccc,subsidies|19|2025|10|rp
ban|9|2035|50|ccc,tax|4|2025|10|rp
subsidies|9|2035|50|ccc,ban|4|2025|10|rp
tax|9|2035|50|ccc,subsidies|4|2025|10|rp
ban|14|2035|50|ccc,tax|9|2025|10|rp
subsidies|14|2035|50|ccc,ban|9|2025|10|rp
tax|14|2035|50|ccc,subsidies|9|2025|10|rp
ban|19|2035|50|ccc,tax|14|2025|10|rp
subsidies|19|2035|50|ccc,ban|14|2025|10|rp
tax|19|2035|50|ccc,subsidies|14|2025|10|rp
ban|4|2045|50|ccc,tax|19|2035|10|rp
subsidies|4|2045|50|ccc,ban|19|2035|10|rp
tax|4|2045|50|ccc,subsidies|19|2035|10|rp
ban|9|2045|50|ccc,tax|4|2035|10|rp
subsidies|9|2045|50|ccc,ban|4|2035|10|rp
tax|9|2045|50|ccc,subsidies|4|2035|10|rp
ban|14|2045|50|ccc,tax|9|2035|10|rp
subsidies|14|2045|50|ccc,ban|9|2035|10|rp
tax|14|2045|50|ccc,subsidies|9|2035|10|rp
ban|19|2045|50|ccc,tax|14|2035|10|rp
subsidies|19|2045|50|ccc,ban|14|2035|10|rp
tax|19|2045|50|ccc,subsidies|14|2035|10|rp
ban|4|2055|50|ccc,tax|19|2045|10|rp
subsidies|4|2055|50|ccc,ban|19|2045|10|rp
tax|4|2055|50|ccc,subsidies|19|2045|10|rp
ban|9|2055|50|ccc,tax|4|2045|10|rp
subsidies|9|2055|50|ccc,ban|4|2045|10|rp
tax|9|2055|50|ccc,subsidies|4|2045|10|rp
ban|14|2055|50|ccc,tax|9|2045|10|rp
subsidies|14|2055|50|ccc,ban|9|2045|10|rp
tax|14|2055|50|ccc,subsidies|9|2045|10|rp
ban|19|2055|50|ccc,tax|14|2045|10|rp
subsidies|19|2055|50|ccc,ban|14|2045|10|rp
tax|19|2055|50|ccc,subsidies|14|2045|10|rp
ban|4|2025|2|greenpeace,tax|19|2055|50|ccc
subsidies|4|2025|2|greenpeace,ban|19|2055|50|ccc
tax|4|2025|2|greenpeace,subsidies|19|2055|50|ccc
ban|9|2025|2|greenpeace,tax|4|2055|50|ccc
subsidies|9|2025|2|greenpeace,ban|4|2055|50|ccc
tax|9|2025|2|greenpeace,subsidies|4|2055|50|ccc
ban|14|2025|2|greenpeace,tax|9|2055|50|ccc
subsidies|14|2025|2|greenpeace,ban|9|2055|50|ccc
tax|14|2025|2|greenpeace,subsidies|9|2055|50|ccc
ban|19|2025|2|greenpeace,tax|14|2055|50|ccc
subsidies|19|2025|2|greenpeace,ban|14|2055|50|ccc
tax|19|2025|2|greenpeace,subsidies|14|2055|50|ccc
ban|4|2035|2|greenpeace,tax|19|2025|50|ccc
subsidies|4|2035|2|greenpeace,ban|19|2025|50|ccc
tax|4|2035|2|greenpeace,subsidies|19|2025|50|ccc
ban|9|2035|2|greenpeace,tax|4|2025|50|ccc
subsidies|9|2035|2|greenpeace,ban|4|2025|50|ccc
tax|9|2035|2|greenpeace,subsidies|4|2025|50|ccc
ban|14|2035|2|greenpeace,tax|9|2025|50|ccc
subsidies|14|2035|2|greenpeace,ban|9|2025|50|ccc
tax|14|2035|2|greenpeace,subsidies|9|2025|50|ccc
ban|19|2035|2|greenpeace,tax|14|2025|50|ccc
subsidies|19|2035|2|greenpeace,ban|14|2025|50|ccc
tax|19|2035|2|greenpeace,subsidies|14|2025|50|ccc
ban|4|2045|2|greenpeace,tax|19|2035|50|ccc
subsidies|4|2045|2|greenpeace,ban|19|2035|50|ccc
tax|4|2045|2|greenpeace,subsidies|19|2035|50|ccc
ban|9|2045|2|greenpeace,tax|4|2035|50|ccc
subsidies|9|2045|2|greenpeace,ban|4|2035|50|ccc
tax|9|2045|2|greenpeace,subsidies|4|2035|50|ccc
ban|14|2045|2|greenpeace,tax|9|2035|50|ccc
subsidies|14|2045|2|greenpeace,ban|9|2035|50|ccc
tax|14|2045|2|greenpeace,subsidies|9|2035|50|ccc
ban|19|2045|2|greenpeace,tax|14|2035|50|ccc
subsidies|19|2045|2|greenpeace,ban|14|2035|50|ccc
tax|19|2045|2|greenpeace,subsidies|14|2035|50|ccc
ban|4|2055|2|greenpeace,tax|19|2045|50|ccc
subsidies|4|2055|2|greenpeace,ban|19|2045|50|ccc
tax|4|2055|2|greenpeace,subsidies|19|2045|50|ccc
ban|9|2055|2|greenpeace,tax|4|2045|50|ccc
subsidies|9|2055|2|greenpeace,ban|4|2045|50|ccc
tax|9|2055|2|greenpeace,subsidies|4|2045|50|ccc
ban|14|2055|2|greenpeace,tax|9|2045|50|ccc
subsidies|14|2055|2|greenpeace,ban|9|2045|50|ccc
tax|14|2055|2|greenpeace,subsidies|9|2045|50|ccc
ban|19|2055|2|greenpeace,tax|14|2045|50|ccc
subsidies|19|2055|2|greenpeace,ban|14|2045|50|ccc
tax|19|2055|2|greenpeace,subsidies|14|2045|50|ccc
ban|4|2025|5|greenpeace,tax|19|2055|2|ccc
subsidies|4|2025|5|greenpeace,ban|19|2055|2|ccc
tax|4|2025|5|greenpeace,subsidies|19|2055|2|ccc
ban|9|2025|5|greenpeace,tax|4|2055|2|ccc
subsidies|9|2025|5|greenpeace,ban|4|2055|2|ccc
tax|9|2025|5|greenpeace,subsidies|4|2055|2|ccc
ban|14|2025|5|greenpeace,tax|9|2055|2|ccc
subsidies|14|2025|5|greenpeace,ban|9|2055|2|ccc
tax|14|2025|5|greenpeace,subsidies|9|2055|2|ccc
ban|19|2025|5|greenpeace,tax|14|2055|2|ccc
subsidies|19|2025|5|greenpeace,ban|14|2055|2|ccc
tax|19|2025|5|greenpeace,subsidies|14|2055|2|ccc
ban|4|2035|5|greenpeace,tax|19|2025|2|ccc
subsidies|4|2035|5|greenpeace,ban|19|2025|2|ccc
tax|4|2035|5|greenpeace,subsidies|19|2025|2|ccc
ban|9|2035|5|greenpeace,tax|4|2025|2|ccc
subsidies|9|2035|5|greenpeace,ban|4|2025|2|ccc
tax|9|2035|5|greenpeace,subsidies|4|2025|2|ccc
ban|14|2035|5|greenpeace,tax|9|2025|2|ccc
subsidies|14|2035|5|greenpeace,ban|9|2025|2|ccc
tax|14|2035|5|greenpeace,subsidies|9|2025|2|ccc
ban|19|2035|5|greenpeace,tax|14|2025|2|ccc
subsidies|19|2035|5|greenpeace,ban|14|2025|2|ccc
tax|19|2035|5|greenpeace,subsidies|14|2025|2|ccc
ban|4|2045|5|greenpeace,tax|19|2035|2|ccc
subsidies|4|2045|5|greenpeace,ban|19|2035|2|ccc
tax|4|2045|5|greenpeace,subsidies|19|2035|2|ccc
ban|9|2045|5|greenpeace,tax|4|2035|2|ccc
subsidies|9|2045|5|greenpeace,ban|4|2035|2|ccc
tax|9|2045|5|greenpeace,subsidies|4|2035|2|ccc
ban|14|2045|5|greenpeace,tax|9|2035|2|ccc
subsidies|14|2045|5|greenpeace,ban|9|2035|2|ccc
tax|14|2045|5|greenpeace,subsidies|9|2035|2|ccc
ban|19|2045|5|greenpeace,tax|14|2035|2|ccc
subsidies|19|2045|5|greenpeace,ban|14|2035|2|ccc
tax|19|2045|5|greenpeace,subsidies|14|2035|2|ccc
ban|4|2055|5|greenpeace,tax|19|2045|2|ccc
subsidies|4|2055|5|greenpeace,ban|19|2045|2|ccc
tax|4|2055|5|greenpeace,subsidies|19|2045|2|ccc
ban|9|2055|5|greenpeace,tax|4|2045|2|ccc
