profile,avgThreshold,group
subsidies|4|2055|2|rp,0.612195946,very-high
tax|19|2035|5|rp,0.633074324,very-high
tax|19|2045|5|rp,0.710472973,very-high
subsidies|19|2055|10|rp,0.692972973,very-high
subsidies|14|2055|2|ccc,0.679527027,very-high
ban|19|2055|5|dp,0.689594595,very-high
ban|14|2035|2|rp,0.583378378,high
subsidies|19|2035|5|rp,0.592195946,high
ban|19|2045|5|greenpeace,0.552297297,high
subsidies|19|2045|50|dp,0.538513514,high
tax|19|2035|5|dp,0.585135135,high
tax|14|2035|5|dp,0.539222973,high
subsidies|14|2045|5|ccc,0.522533784,medium-high
tax|19|2025|2|greenpeace,0.523547297,medium-high
subsidies|14|2045|5|greenpeace,0.502804054,medium-high
tax|9|2055|10|greenpeace,0.508040541,medium-high
subsidies|19|2025|5|dp,0.482736486,medium-high
subsidies|14|2045|10|dp,0.479425676,medium-high
tax|4|2025|2|rp,0.463614865,medium
tax|9|2035|10|rp,0.4625,medium
ban|19|2045|50|greenpeace,0.472297297,medium
tax|4|2055|10|greenpeace,0.417804054,medium
tax|9|2045|10|greenpeace,0.422702703,medium
tax|4|2055|10|dp,0.461891892,medium
ban|4|2025|10|rp,0.303716216,low
ban|4|2035|10|rp,0.332804054,low
ban|4|2035|5|ccc,0.34222973,low
ban|9|2025|10|ccc,0.284358108,low
tax|4|2025|10|greenpeace,0.275540541,low
ban|9|2035|10|dp,0.321621622,low
subsidies|4|2055|10|ccc,0.410777027,medium-low
ban|4|2055|10|greenpeace,0.376925676,medium-low
ban|19|2025|10|greenpeace,0.380135135,medium-low
ban|19|2035|10|greenpeace,0.413310811,medium-low
subsidies|4|2025|2|dp,0.356790541,medium-low
subsidies|9|2035|5|dp,0.414628378,medium-low
