profile,avgThreshold,group,wrong_name,correct_name
tax|9|2025|5|ccc,0.612195946,very-high,tax|9|2025|5|ccc,subsidies|4|2055|2|rp
ban|4|2045|10|ccc,0.633074324,very-high,ban|4|2045|10|ccc,tax|19|2035|5|rp
ban|4|2055|10|ccc,0.710472973,very-high,ban|4|2055|10|ccc,tax|19|2045|5|rp
tax|4|2025|50|ccc,0.692972973,very-high,tax|4|2025|50|ccc,subsidies|19|2055|10|rp
tax|19|2025|5|greenpeace,0.679527027,very-high,tax|19|2025|5|greenpeace,subsidies|14|2055|2|ccc
subsidies|4|2025|10|rp,0.689594595,very-high,subsidies|4|2025|10|rp,ban|19|2055|5|dp
subsidies|19|2045|5|ccc,0.583378378,high,subsidies|19|2045|5|ccc,ban|14|2035|2|rp
tax|4|2045|10|ccc,0.592195946,high,tax|4|2045|10|ccc,subsidies|19|2035|5|rp
subsidies|4|2055|10|dp,0.552297297,high,subsidies|4|2055|10|dp,ban|19|2045|5|greenpeace
tax|4|2055|2|rp,0.538513514,high,tax|4|2055|2|rp,subsidies|19|2045|50|dp
ban|4|2045|10|rp,0.585135135,high,ban|4|2045|10|rp,tax|19|2035|5|dp
ban|19|2045|10|rp,0.539222973,high,ban|19|2045|10|rp,tax|14|2035|5|dp
tax|19|2055|10|greenpeace,0.522533784,medium-high,tax|19|2055|10|greenpeace,subsidies|14|2045|5|ccc
ban|4|2035|5|dp,0.523547297,medium-high,ban|4|2035|5|dp,tax|19|2025|2|greenpeace
tax|19|2055|10|dp,0.502804054,medium-high,tax|19|2055|10|dp,subsidies|14|2045|5|greenpeace
ban|14|2025|50|dp,0.508040541,medium-high,ban|14|2025|50|dp,tax|9|2055|10|greenpeace
tax|4|2035|10|rp,0.482736486,medium-high,tax|4|2035|10|rp,subsidies|19|2025|5|dp
tax|19|2055|50|rp,0.479425676,medium-high,tax|19|2055|50|rp,subsidies|14|2045|10|dp
ban|9|2035|5|ccc,0.463614865,medium,ban|9|2035|5|ccc,tax|4|2025|2|rp
ban|14|2045|50|ccc,0.4625,medium,ban|14|2045|50|ccc,tax|9|2035|10|rp
subsidies|4|2055|2|dp,0.472297297,medium,subsidies|4|2055|2|dp,ban|19|2045|50|greenpeace
ban|9|2025|50|dp,0.417804054,medium,ban|9|2025|50|dp,tax|4|2055|10|greenpeace
ban|14|2055|50|dp,0.422702703,medium,ban|14|2055|50|dp,tax|9|2045|10|greenpeace
ban|9|2025|50|rp,0.461891892,medium,ban|9|2025|50|rp,tax|4|2055|10|dp
subsidies|9|2035|50|ccc,0.303716216,low,subsidies|9|2035|50|ccc,ban|4|2025|10|rp
subsidies|9|2045|50|ccc,0.332804054,low,subsidies|9|2045|50|ccc,ban|4|2035|10|rp
subsidies|9|2045|10|greenpeace,0.34222973,low,subsidies|9|2045|10|greenpeace,ban|4|2035|5|ccc
subsidies|14|2035|50|greenpeace,0.284358108,low,subsidies|14|2035|50|greenpeace,ban|9|2025|10|ccc
ban|9|2035|50|dp,0.275540541,low,ban|9|2035|50|dp,tax|4|2025|10|greenpeace
subsidies|14|2045|50|rp,0.321621622,low,subsidies|14|2045|50|rp,ban|9|2035|10|dp
tax|9|2025|50|greenpeace,0.410777027,medium-low,tax|9|2025|50|greenpeace,subsidies|4|2055|10|ccc
subsidies|9|2025|50|dp,0.376925676,medium-low,subsidies|9|2025|50|dp,ban|4|2055|10|greenpeace
subsidies|4|2035|50|dp,0.380135135,medium-low,subsidies|4|2035|50|dp,ban|19|2025|10|greenpeace
subsidies|4|2045|50|dp,0.413310811,medium-low,subsidies|4|2045|50|dp,ban|19|2035|10|greenpeace
tax|9|2035|5|rp,0.356790541,medium-low,tax|9|2035|5|rp,subsidies|4|2025|2|dp
tax|14|2045|10|rp,0.414628378,medium-low,tax|14|2045|10|rp,subsidies|9|2035|5|dp
