resp.id,Age,Gender,Education,subj,Income,politcs
2,3,1,5,2,2,2
3,3,2,5,4,4,2
4,2,2,5,3,2,2
5,4,2,3,4,2,2
6,1,2,3,4,2,1
8,5,2,5,4,1,1
9,2,2,7,3,2,2
13,7,1,5,1,4,3
15,2,2,6,3,4,2
16,5,1,6,3,4,3
18,2,1,5,1,4,3
19,6,1,6,3,3,2
21,1,1,3,3,2,3
23,4,1,2,4,2,1
24,3,1,6,3,1,3
25,2,1,6,3,6,2
26,5,2,6,2,5,2
27,1,2,5,3,6,3
28,5,1,2,4,2,1
29,7,1,3,4,3,3
32,5,2,4,4,3,1
33,4,2,6,2,2,2
34,2,1,3,4,3,2
35,4,1,5,3,5,2
36,3,1,2,4,3,2
38,3,2,5,3,5,2
39,5,2,2,1,2,2
40,2,1,5,2,3,3
41,3,1,3,3,3,2
42,2,1,6,2,5,2
43,7,1,5,1,5,1
44,3,2,2,4,2,2
45,2,2,5,1,3,1
46,2,2,3,1,1,3
49,3,2,6,1,3,1
50,4,1,4,4,1,3
51,2,2,5,3,5,2
53,5,1,8,1,3,2
54,6,2,5,2,4,2
56,2,1,3,2,2,3
57,4,2,5,3,6,2
58,5,1,5,2,3,1
59,2,1,6,4,6,1
60,1,2,5,2,6,1
61,5,1,5,3,2,1
63,2,2,5,2,2,2
65,5,2,5,3,5,2
68,3,2,4,4,2,1
70,1,1,5,1,4,3
71,3,1,5,2,3,2
72,1,1,2,3,1,2
73,3,1,5,3,3,2
74,3,1,5,4,6,2
77,3,1,4,3,1,2
78,2,1,5,3,3,2
79,1,2,5,3,1,2
80,5,1,3,1,2,1
81,5,2,5,3,2,1
82,5,1,4,1,3,2
83,6,2,6,4,2,2
85,1,1,4,3,1,2
86,5,2,2,4,1,1
87,5,1,3,4,1,2
88,5,2,4,4,3,1
89,4,2,4,4,6,3
93,2,2,6,4,1,2
94,5,1,6,3,6,2
95,5,2,4,3,1,1
98,6,2,2,4,1,2
99,1,2,3,2,6,2
100,3,2,3,3,2,2
103,4,2,5,2,6,3
104,4,2,3,4,2,1
105,6,1,3,3,2,2
106,1,2,3,4,2,2
107,5,2,5,4,2,2
110,5,2,5,4,3,2
111,5,1,3,2,2,2
113,2,1,3,3,2,1
114,2,2,5,4,7,3
115,3,2,8,4,4,2
116,3,2,3,4,6,2
117,3,2,5,3,4,2
118,3,1,5,4,3,1
119,5,1,3,1,1,2
121,2,1,4,4,3,2
123,1,2,2,4,3,2
124,3,1,6,2,2,2
125,5,2,3,3,2,1
126,3,1,7,3,3,2
132,6,1,5,4,3,1
135,5,1,4,3,1,2
136,4,2,2,4,3,1
138,1,2,5,3,3,1
139,4,2,6,2,3,2
140,2,1,5,1,4,2
142,3,1,5,3,5,1
143,4,1,5,3,5,3
145,1,1,4,3,2,3
146,6,2,5,4,5,1
147,4,2,3,2,2,1
149,4,2,4,4,3,3
151,3,1,5,1,4,2
152,2,1,5,3,3,2
154,4,1,3,1,2,3
155,7,1,3,2,3,2
