resp.id,ques,alt,choice,none,policytype,cost,year,distance,org,adopters
2,1,1,3,2,tax,14,2045,50,dp,0.76
2,1,2,0,2,ban,19,2035,2,ccc,0.23
2,1,3,0,2,subsidies,4,2025,10,rp,0.98
2,1,4,0,1,0,0,0,0,0,0
2,2,1,1,2,subsidies,4,2025,5,dp,0.76
2,2,2,0,2,ban,9,2045,10,ccc,0.23
2,2,3,0,2,subsidies,9,2045,5,ccc,0.01
2,2,4,0,1,0,0,0,0,0,0
2,3,1,3,2,subsidies,9,2055,2,rp,0.01
2,3,2,0,2,subsidies,9,2045,10,rp,0.45
2,3,3,0,2,subsidies,14,2025,50,dp,0.23
2,3,4,0,1,0,0,0,0,0,0
2,4,1,2,2,ban,9,2045,50,dp,0.23
2,4,2,0,2,tax,4,2035,50,dp,0.23
2,4,3,0,2,ban,14,2055,5,greenpeace,0.23
2,4,4,0,1,0,0,0,0,0,0
2,5,1,3,2,subsidies,19,2045,2,rp,0.76
2,5,2,0,2,tax,14,2045,5,rp,0.01
2,5,3,0,2,ban,4,2035,5,ccc,0.76
2,5,4,0,1,0,0,0,0,0,0
2,6,1,1,2,subsidies,4,2055,50,ccc,0.98
2,6,2,0,2,tax,9,2035,2,dp,0.23
2,6,3,0,2,subsidies,9,2035,5,ccc,0.45
2,6,4,0,1,0,0,0,0,0,0
2,7,1,1,2,tax,14,2025,2,greenpeace,0.98
2,7,2,0,2,ban,14,2055,10,ccc,0.01
2,7,3,0,2,tax,14,2055,10,dp,0.45
2,7,4,0,1,0,0,0,0,0,0
2,8,1,1,2,ban,19,2035,50,ccc,0.98
2,8,2,0,2,tax,9,2045,2,ccc,0.45
2,8,3,0,2,ban,19,2055,5,greenpeace,0.98
2,8,4,0,1,0,0,0,0,0,0
2,9,1,3,2,subsidies,4,2035,2,rp,0.76
2,9,2,0,2,ban,14,2055,5,ccc,0.01
2,9,3,0,2,tax,19,2035,50,ccc,0.98
2,9,4,0,1,0,0,0,0,0,0
2,10,1,1,2,subsidies,9,2025,2,greenpeace,0.98
2,10,2,0,2,tax,9,2035,5,rp,0.01
2,10,3,0,2,subsidies,14,2045,10,greenpeace,0.45
2,10,4,0,1,0,0,0,0,0,0
2,11,1,2,2,subsidies,9,2025,10,greenpeace,0.23
2,11,2,0,2,ban,9,2025,5,ccc,0.23
2,11,3,0,2,subsidies,14,2055,50,greenpeace,0.23
2,11,4,0,1,0,0,0,0,0,0
2,12,1,1,2,subsidies,9,2045,50,ccc,0.98
2,12,2,0,2,tax,19,2035,2,dp,0.76
2,12,3,0,2,ban,9,2025,50,dp,0.45
2,12,4,0,1,0,0,0,0,0,0
2,13,1,3,2,tax,14,2025,5,ccc,0.76
2,13,2,0,2,ban,9,2045,2,dp,0.76
2,13,3,0,2,ban,4,2055,10,rp,0.76
2,13,4,0,1,0,0,0,0,0,0
2,14,1,4,2,tax,14,2025,50,dp,0.01
2,14,2,0,2,tax,19,2045,10,rp,0.45
2,14,3,0,2,tax,19,2035,5,rp,0.45
2,14,4,0,1,0,0,0,0,0,0
3,1,1,2,2,tax,19,2045,2,rp,0.76
3,1,2,0,2,ban,9,2035,10,rp,0.98
3,1,3,0,2,subsidies,9,2055,2,dp,0.76
3,1,4,0,1,0,0,0,0,0,0
3,2,1,3,2,tax,19,2025,2,rp,0.01
3,2,2,0,2,ban,14,2025,2,rp,0.45
3,2,3,0,2,tax,14,2035,2,rp,0.98
3,2,4,0,1,0,0,0,0,0,0
3,3,1,3,2,ban,19,2055,10,ccc,0.23
3,3,2,0,2,tax,14,2025,50,ccc,0.45
3,3,3,0,2,ban,19,2055,5,ccc,0.76
