,noneFALSE,accessibilitymobile,accessibilityweb,authenticationmulti_factor,authenticationsimple,authenticationtwo_factor,customisationhigh,customisationlow,customisationmedium,videomulti_person,videoone_to_one
web|simple|low|multi_person,1,0,1,0,1,0,0,1,0,1,0
mobile|two_factor|low|multi_person,1,1,0,0,0,1,0,1,0,1,0
web|two_factor|low|multi_person,1,0,1,0,0,1,0,1,0,1,0
mobile|multi_factor|low|multi_person,1,1,0,1,0,0,0,1,0,1,0
mobile|simple|medium|multi_person,1,1,0,0,1,0,0,0,1,1,0
mobile|multi_factor|medium|multi_person,1,1,0,1,0,0,0,0,1,1,0
web|multi_factor|medium|multi_person,1,0,1,1,0,0,0,0,1,1,0
mobile|simple|high|multi_person,1,1,0,0,1,0,1,0,0,1,0
web|simple|high|multi_person,1,0,1,0,1,0,1,0,0,1,0
mobile|two_factor|high|multi_person,1,1,0,0,0,1,1,0,0,1,0
mobile|multi_factor|high|multi_person,1,1,0,1,0,0,1,0,0,1,0
mobile|simple|low|one_to_one,1,1,0,0,1,0,0,1,0,0,1
web|simple|low|one_to_one,1,0,1,0,1,0,0,1,0,0,1
mobile|multi_factor|low|one_to_one,1,1,0,1,0,0,0,1,0,0,1
web|multi_factor|low|one_to_one,1,0,1,1,0,0,0,1,0,0,1
mobile|simple|medium|one_to_one,1,1,0,0,1,0,0,0,1,0,1
mobile|two_factor|medium|one_to_one,1,1,0,0,0,1,0,0,1,0,1
mobile|multi_factor|medium|one_to_one,1,1,0,1,0,0,0,0,1,0,1
web|multi_factor|medium|one_to_one,1,0,1,1,0,0,0,0,1,0,1
web|simple|high|one_to_one,1,0,1,0,1,0,1,0,0,0,1
mobile|two_factor|high|one_to_one,1,1,0,0,0,1,1,0,0,0,1
mobile|multi_factor|high|one_to_one,1,1,0,1,0,0,1,0,0,0,1
web|multi_factor|high|one_to_one,1,0,1,1,0,0,1,0,0,0,1
web|simple|medium|multi_person,1,0,1,0,1,0,0,0,1,1,0
mobile|two_factor|medium|multi_person,1,1,0,0,0,1,0,0,1,1,0
web|two_factor|high|multi_person,1,0,1,0,0,1,1,0,0,1,0
web|multi_factor|high|multi_person,1,0,1,1,0,0,1,0,0,1,0
web|simple|medium|one_to_one,1,0,1,0,1,0,0,0,1,0,1
web|two_factor|medium|one_to_one,1,0,1,0,0,1,0,0,1,0,1
mobile|simple|high|one_to_one,1,1,0,0,1,0,1,0,0,0,1
mobile|simple|low|multi_person,1,1,0,0,1,0,0,1,0,1,0
web|multi_factor|low|multi_person,1,0,1,1,0,0,0,1,0,1,0
web|two_factor|medium|multi_person,1,0,1,0,0,1,0,0,1,1,0
mobile|two_factor|low|one_to_one,1,1,0,0,0,1,0,1,0,0,1
web|two_factor|high|one_to_one,1,0,1,0,0,1,1,0,0,0,1
web|two_factor|low|one_to_one,1,0,1,0,0,1,0,1,0,0,1
