resp.id,Age,Gender,Education,subj,Income
2,4,1,7,4,3
3,3,1,7,4,3
4,1,1,7,3,1
5,2,2,7,2,3
6,5,2,6,2,2
7,3,1,7,2,2
8,2,2,7,2,5
9,2,2,7,2,1
10,2,2,7,1,4
11,6,1,7,3,4
13,2,2,7,4,4
14,6,1,7,3,2
15,2,2,4,1,1
16,2,1,7,3,2
17,3,2,5,4,2
18,2,2,7,2,4
19,3,2,6,2,4
20,2,2,8,3,2
21,2,2,8,4,3
22,5,2,5,2,1
23,2,1,6,4,2
24,3,2,4,4,2
26,2,1,7,3,3
27,5,2,4,4,2
28,2,2,4,4,2
29,2,2,8,2,4
31,2,2,8,1,3
32,3,2,7,4,5
33,5,2,8,2,3
35,2,2,8,4,3
36,3,2,5,1,4
37,5,2,7,2,3
38,4,2,8,3,4
39,4,2,4,4,2
41,3,2,4,4,2
42,3,1,7,4,4
43,3,2,8,3,4
44,3,2,8,3,3
45,4,2,5,4,2
46,4,1,4,4,2
47,4,1,8,4,5
48,2,2,8,2,3
49,2,2,7,3,4
50,4,2,7,2,5
51,6,1,8,1,4
52,3,1,4,4,1
53,1,2,7,2,2
54,2,1,8,3,2
55,1,1,6,4,3
56,5,2,4,4,1
57,4,1,4,4,1
58,2,1,8,1,2
60,1,2,6,3,2
61,3,1,8,3,3
62,2,2,8,2,4
63,4,1,8,1,5
64,3,1,3,4,2
65,2,2,5,1,3
68,2,2,5,4,2
69,4,1,4,4,5
70,3,1,8,2,4
71,3,2,7,1,4
72,4,2,7,4,3
73,3,1,5,4,3
74,6,2,8,1,3
75,3,1,7,2,5
76,2,2,5,4,1
77,4,2,7,2,3
78,1,2,8,1,2
79,3,2,5,2,2
80,3,1,8,1,3
81,3,1,5,1,1
82,4,2,7,2,2
83,1,2,6,3,1
84,2,1,6,3,1
86,4,1,4,4,2
87,3,2,4,4,2
88,6,1,4,4,2
90,3,2,8,3,2
91,2,2,7,4,2
92,2,1,7,1,3
93,4,2,4,4,3
94,3,2,7,2,3
95,2,1,4,4,1
96,3,1,7,3,2
97,2,1,8,3,5
98,1,2,7,3,2
99,3,2,8,1,4
100,4,1,5,2,2
101,4,1,4,4,2
103,3,2,6,4,2
104,4,2,7,4,3
105,4,2,7,2,3
106,2,1,5,4,2
107,4,1,7,3,3
108,3,1,7,1,4
109,4,2,4,4,4
110,4,2,3,4,2
111,4,2,8,3,4
112,6,1,7,4,2
113,6,1,4,4,2
114,6,2,6,4,4
115,4,2,5,3,4
116,2,2,7,2,2
117,5,1,7,3,1
118,3,1,4,4,4
119,5,2,4,4,2
120,4,1,4,4,2
121,2,1,4,4,1
122,6,2,4,4,2
123,4,1,7,2,5
124,5,2,4,4,3
125,3,2,7,2,3
126,4,1,8,1,4
127,5,2,7,4,2
128,4,2,7,3,2
130,5,2,7,4,2
131,3,1,6,1,4
132,2,1,7,3,4
133,4,2,8,4,1
135,3,2,4,4,2
136,5,2,7,2,4
137,4,2,5,1,1
138,3,2,7,4,4
140,6,1,8,2,4
141,4,2,7,3,2
142,5,1,8,2,4
143,3,2,7,4,3
144,2,2,8,3,2
145,4,1,5,3,4
146,4,2,7,3,4
147,5,2,4,4,2
148,4,1,5,4,3
149,3,1,7,2,4
150,3,2,8,3,4
151,6,1,5,4,2
152,2,2,5,2,2
153,5,2,4,1,1
154,3,1,8,1,4
155,3,1,4,4,2
156,3,2,7,2,4
157,4,1,7,3,3
158,2,1,4,1,3
159,5,1,6,3,1
160,1,1,7,3,1
162,4,1,8,1,4
163,2,2,8,3,5
164,1,1,4,3,2
165,2,2,5,4,2
166,4,2,5,2,3
167,3,1,7,2,4
168,6,1,5,4,2
169,3,2,5,1,3
170,3,2,8,4,3
171,4,2,5,4,4
172,3,2,7,2,3
173,2,1,7,3,3
174,5,2,5,4,4
175,3,2,7,1,4
176,2,1,8,3,2
177,3,2,8,3,5
178,3,2,4,4,5
179,5,2,7,3,4
180,5,2,5,1,1
181,1,2,4,3,5
183,2,2,5,4,2
184,3,2,7,3,2
186,3,1,4,4,1
187,5,1,7,4,2
188,3,1,7,1,4
189,3,2,5,1,2
190,5,2,5,2,2
191,5,2,4,4,1
192,2,1,7,3,1
194,3,2,7,1,4
195,4,1,8,1,1
196,3,1,7,3,3
197,2,2,7,1,3
198,2,1,7,3,4
199,5,2,4,4,2
200,6,1,5,1,3
201,3,2,7,4,2
202,4,1,7,3,2
203,3,1,8,2,3
205,4,1,7,3,2
206,2,1,7,3,2
207,3,2,7,4,4
208,6,2,3,4,2
209,5,2,6,3,1
210,2,1,4,4,2
211,6,2,5,4,2
212,3,2,5,4,4
213,3,1,7,2,4
214,4,2,4,4,4
217,3,1,7,4,4
219,3,1,7,4,2
220,2,2,7,4,1
221,4,1,3,4,3
222,2,1,7,3,4
223,2,2,4,2,2
224,6,1,8,3,3
225,2,2,7,2,3
226,5,1,4,4,2
227,4,2,5,3,1
228,5,1,4,4,2
230,2,2,5,4,4
231,1,2,7,4,2
232,2,2,7,3,4
233,2,2,7,1,4
234,4,2,4,4,1
235,3,1,7,2,2
236,4,2,7,2,3
237,3,1,4,3,2
238,4,1,8,2,1
239,4,1,7,2,3
240,2,1,6,4,3
241,4,2,4,4,4
242,5,2,5,2,2
243,5,2,8,1,4
245,1,2,8,3,3
246,3,2,6,4,3
247,2,1,7,3,2
248,4,2,7,2,2
249,2,2,8,2,2
250,2,1,8,3,3
251,3,2,7,1,4
252,4,2,8,1,3
253,2,1,4,4,1
254,5,1,7,3,2
256,3,1,5,4,2
258,2,2,4,2,3
259,3,2,7,2,2
260,3,1,5,3,4
261,2,1,7,1,2
263,2,1,7,3,3
264,6,1,5,3,2
265,4,1,5,1,3
266,3,1,8,3,4
267,2,1,7,4,3
268,4,2,7,2,1
269,2,1,7,2,4
270,1,1,3,4,4
271,4,1,6,3,2
272,1,1,7,1,4
273,4,2,7,2,2
274,5,1,7,3,2
275,1,1,7,3,1
276,5,2,5,1,1
277,3,2,6,4,3
279,2,2,5,3,2
280,2,2,7,4,3
281,2,2,5,4,1
282,3,1,8,2,4
283,4,1,7,3,1
284,3,2,8,4,3
285,1,1,6,1,4
286,1,1,7,3,2
287,5,2,7,3,4
288,5,1,7,3,2
289,1,2,7,1,2
290,5,1,6,3,2
291,2,1,5,1,4
292,2,2,8,2,1
293,3,2,7,2,2
294,4,2,4,4,2
295,2,1,4,4,3
296,3,1,7,3,2
297,3,1,7,3,4
298,4,1,4,4,4
299,2,1,8,4,3
301,4,1,6,2,1
302,2,1,7,3,3
303,4,2,7,2,5
304,4,2,7,2,5
305,5,1,4,3,2
306,2,1,6,4,2
307,5,2,7,4,2
308,2,1,8,3,5
309,3,1,7,2,4
310,4,2,7,2,3
311,1,1,8,3,2
312,3,1,4,4,1
313,3,1,7,1,4
314,3,2,7,3,3
