"resp.id","profile","incentive","frequency"
2,"web|simple|low|multi_person",-6.85785844266813,1
3,"web|simple|low|multi_person",-5.05113731318976,1
4,"web|simple|low|multi_person",-5.26997358126783,1
5,"web|simple|low|multi_person",-9.1551849964896,1
6,"web|simple|low|multi_person",-5.99200025731378,1
7,"web|simple|low|multi_person",-4.65099114220477,1
8,"web|simple|low|multi_person",-5.31511324676674,1
9,"web|simple|low|multi_person",-5.06472984796647,1
10,"web|simple|low|multi_person",-5.1593029898011,1
11,"web|simple|low|multi_person",-5.33220607377385,1
13,"web|simple|low|multi_person",-5.98114791455603,1
14,"web|simple|low|multi_person",-2.80337576402687,1
15,"web|simple|low|multi_person",-4.17304546903328,1
16,"web|simple|low|multi_person",-1.71077892917992,1
17,"web|simple|low|multi_person",-4.77780364907951,1
18,"web|simple|low|multi_person",-4.80275556093793,1
19,"web|simple|low|multi_person",-5.02168441283679,1
20,"web|simple|low|multi_person",-4.588940421165,1
21,"web|simple|low|multi_person",-3.13846671869938,1
22,"web|simple|low|multi_person",-10.0286734709756,1
23,"web|simple|low|multi_person",-1.42026394173104,1
24,"web|simple|low|multi_person",-4.38659744115905,1
26,"web|simple|low|multi_person",-6.50073227176686,1
27,"web|simple|low|multi_person",-8.34493443017635,1
28,"web|simple|low|multi_person",-13.7802670038634,1
29,"web|simple|low|multi_person",-5.64607704241567,1
31,"web|simple|low|multi_person",-7.28055585392393,1
32,"web|simple|low|multi_person",-3.42448084654018,1
33,"web|simple|low|multi_person",-6.21317066934253,1
35,"web|simple|low|multi_person",-7.32445668586078,1
36,"web|simple|low|multi_person",-6.77269656559741,1
37,"web|simple|low|multi_person",-5.8309441639728,1
38,"web|simple|low|multi_person",-5.20214820319502,1
39,"web|simple|low|multi_person",-4.72518751988373,1
41,"web|simple|low|multi_person",-6.21277770329616,1
42,"web|simple|low|multi_person",-6.75787354744249,1
43,"web|simple|low|multi_person",-9.17782027084911,1
44,"web|simple|low|multi_person",-4.22819815782129,1
45,"web|simple|low|multi_person",-5.10256986891292,1
46,"web|simple|low|multi_person",-3.82308561272347,1
47,"web|simple|low|multi_person",-3.83707291389235,1
48,"web|simple|low|multi_person",-6.58465661027499,1
49,"web|simple|low|multi_person",-7.36873485625671,1
50,"web|simple|low|multi_person",-8.2765655481759,1
51,"web|simple|low|multi_person",-5.73633512807079,1
52,"web|simple|low|multi_person",-6.01928063207125,1
53,"web|simple|low|multi_person",-6.00608033326337,1
54,"web|simple|low|multi_person",-6.14102790543149,1
55,"web|simple|low|multi_person",-6.29716510259231,1
56,"web|simple|low|multi_person",-7.59504151733741,1
57,"web|simple|low|multi_person",-5.51412672366207,1
58,"web|simple|low|multi_person",-6.26285354209029,1
60,"web|simple|low|multi_person",-3.18685945556655,1
61,"web|simple|low|multi_person",-5.77611886589336,1
62,"web|simple|low|multi_person",-6.40583559376053,1
63,"web|simple|low|multi_person",-4.81392022230773,1
64,"web|simple|low|multi_person",-4.4921678323299,1
65,"web|simple|low|multi_person",-4.3172549941655,1
68,"web|simple|low|multi_person",-3.77225666861478,1
69,"web|simple|low|multi_person",-7.38125832166023,1
70,"web|simple|low|multi_person",-6.96252143277354,1
71,"web|simple|low|multi_person",-12.262031477755,1
72,"web|simple|low|multi_person",-3.39702498315517,1
73,"web|simple|low|multi_person",-8.14909790842817,1
74,"web|simple|low|multi_person",-4.71647849735791,1
75,"web|simple|low|multi_person",-10.148761295033,1
76,"web|simple|low|multi_person",-4.26207351505027,1
77,"web|simple|low|multi_person",-7.87996940746402,1
78,"web|simple|low|multi_person",-6.14018386482938,1
79,"web|simple|low|multi_person",-8.34945324642299,1
80,"web|simple|low|multi_person",-5.5459590943349,1
81,"web|simple|low|multi_person",-5.32964505082261,1
82,"web|simple|low|multi_person",-5.52506342442382,1
83,"web|simple|low|multi_person",-5.34363399058094,1
84,"web|simple|low|multi_person",-5.74782879910123,1
86,"web|simple|low|multi_person",-6.81082076663328,1
87,"web|simple|low|multi_person",-5.79254067408622,1
88,"web|simple|low|multi_person",-3.47747090782311,1
90,"web|simple|low|multi_person",-5.66554918004812,1
91,"web|simple|low|multi_person",-9.39812844764504,1
92,"web|simple|low|multi_person",-7.41098505027474,1
93,"web|simple|low|multi_person",-7.043375669662,1
94,"web|simple|low|multi_person",-5.54264318979866,1
95,"web|simple|low|multi_person",-4.71315128660843,1
96,"web|simple|low|multi_person",-9.64260682136225,1
97,"web|simple|low|multi_person",-6.33791553269348,1
98,"web|simple|low|multi_person",-3.57024066620737,1
99,"web|simple|low|multi_person",-7.37079895987735,1
100,"web|simple|low|multi_person",-7.7666611563705,1
101,"web|simple|low|multi_person",-5.32428356815101,1
103,"web|simple|low|multi_person",-8.92905066917141,1
104,"web|simple|low|multi_person",-5.32629225869879,1
105,"web|simple|low|multi_person",-8.58223356123589,1
106,"web|simple|low|multi_person",-6.17152588642899,1
107,"web|simple|low|multi_person",-5.75717246838246,1
108,"web|simple|low|multi_person",-4.22871743740315,1
109,"web|simple|low|multi_person",-6.05709243240347,1
110,"web|simple|low|multi_person",-3.54648313938823,1
111,"web|simple|low|multi_person",-4.29494264327793,1
112,"web|simple|low|multi_person",-6.70831240605364,1
113,"web|simple|low|multi_person",-6.9101327582277,1
114,"web|simple|low|multi_person",-6.34574309297544,1
115,"web|simple|low|multi_person",-5.03477104270488,1
116,"web|simple|low|multi_person",-7.16868264911882,1
117,"web|simple|low|multi_person",-6.68166601960735,1
118,"web|simple|low|multi_person",-5.93685732588429,1
119,"web|simple|low|multi_person",-2.08402285103513,1
120,"web|simple|low|multi_person",-7.67325622611848,1
121,"web|simple|low|multi_person",-7.06356024733763,1
122,"web|simple|low|multi_person",-12.4136201725859,1
123,"web|simple|low|multi_person",-6.90783410172088,1
124,"web|simple|low|multi_person",-6.27519798080886,1
125,"web|simple|low|multi_person",-5.25108503823213,1
126,"web|simple|low|multi_person",-9.28246318789216,1
127,"web|simple|low|multi_person",-8.94860299246393,1
128,"web|simple|low|multi_person",-6.81110499640697,1
130,"web|simple|low|multi_person",-6.52182590840546,1
131,"web|simple|low|multi_person",-6.53357327784965,1
132,"web|simple|low|multi_person",-6.76664373784807,1
133,"web|simple|low|multi_person",-5.44792968588345,1
135,"web|simple|low|multi_person",-6.06923071333546,1
136,"web|simple|low|multi_person",-5.2211731611452,1
137,"web|simple|low|multi_person",-4.15329580289376,1
138,"web|simple|low|multi_person",-5.43346178575235,1
140,"web|simple|low|multi_person",-6.62789473336278,1
141,"web|simple|low|multi_person",-6.41986449333553,1
142,"web|simple|low|multi_person",-4.9429628713486,1
143,"web|simple|low|multi_person",-6.58507067459315,1
144,"web|simple|low|multi_person",-2.63113430327437,1
145,"web|simple|low|multi_person",-6.58414854984924,1
146,"web|simple|low|multi_person",-6.51927132551477,1
147,"web|simple|low|multi_person",-5.28681104801063,1
148,"web|simple|low|multi_person",-6.62500602122126,1
149,"web|simple|low|multi_person",-3.24400496803975,1
150,"web|simple|low|multi_person",-8.91022270284093,1
151,"web|simple|low|multi_person",-6.7916217795385,1
152,"web|simple|low|multi_person",-7.11031043545693,1
153,"web|simple|low|multi_person",-6.97661767638647,1
154,"web|simple|low|multi_person",-10.3837950301631,1
155,"web|simple|low|multi_person",-5.92059496045893,1
156,"web|simple|low|multi_person",-7.5069358829597,1
157,"web|simple|low|multi_person",-6.40014797111654,1
158,"web|simple|low|multi_person",-6.10870670052712,1
159,"web|simple|low|multi_person",-4.1321946968588,1
160,"web|simple|low|multi_person",-5.00379072045945,1
162,"web|simple|low|multi_person",-2.38615844048647,1
163,"web|simple|low|multi_person",-5.63256359033831,1
164,"web|simple|low|multi_person",-6.14427863509926,1
165,"web|simple|low|multi_person",-0.668350203229253,1
166,"web|simple|low|multi_person",-4.3153389228786,1
167,"web|simple|low|multi_person",-9.61731027236612,1
168,"web|simple|low|multi_person",-6.47500877550479,1
169,"web|simple|low|multi_person",-7.67767186481592,1
170,"web|simple|low|multi_person",-5.08570723036581,1
171,"web|simple|low|multi_person",-2.75882341970179,1
172,"web|simple|low|multi_person",-7.63469883925065,1
173,"web|simple|low|multi_person",-10.5784552963617,1
174,"web|simple|low|multi_person",-8.32193508961661,1
175,"web|simple|low|multi_person",-5.94683022282121,1
176,"web|simple|low|multi_person",-1.73492516023118,1
177,"web|simple|low|multi_person",-2.41415565848864,1
178,"web|simple|low|multi_person",-5.78471468550011,1
179,"web|simple|low|multi_person",-12.3183105328005,1
180,"web|simple|low|multi_person",-4.57114833195051,1
181,"web|simple|low|multi_person",-4.60135313933135,1
183,"web|simple|low|multi_person",-4.84046662498761,1
184,"web|simple|low|multi_person",-6.14094757218643,1
186,"web|simple|low|multi_person",-5.59839017342574,1
187,"web|simple|low|multi_person",-12.2714943685308,1
188,"web|simple|low|multi_person",-6.65528704057087,1
189,"web|simple|low|multi_person",-8.26104997530816,1
190,"web|simple|low|multi_person",-5.03041962544993,1
191,"web|simple|low|multi_person",-7.27871914207992,1
192,"web|simple|low|multi_person",-6.37452725168146,1
194,"web|simple|low|multi_person",-6.25362366475266,1
195,"web|simple|low|multi_person",-8.49746744399366,1
196,"web|simple|low|multi_person",-6.15758529044478,1
197,"web|simple|low|multi_person",-6.59125203771584,1
198,"web|simple|low|multi_person",-5.48408412804797,1
199,"web|simple|low|multi_person",-7.47985787503574,1
200,"web|simple|low|multi_person",-6.27475427440142,1
201,"web|simple|low|multi_person",-6.78139836032027,1
202,"web|simple|low|multi_person",-4.72094367597055,1
203,"web|simple|low|multi_person",-5.80230074887187,1
205,"web|simple|low|multi_person",-2.60002013990623,1
206,"web|simple|low|multi_person",-9.07262399419151,1
207,"web|simple|low|multi_person",-3.76721359609742,1
208,"web|simple|low|multi_person",-5.08575456678995,1
209,"web|simple|low|multi_person",-4.05577256726887,1
210,"web|simple|low|multi_person",-5.82453348645834,1
211,"web|simple|low|multi_person",-10.0966031468888,1
212,"web|simple|low|multi_person",-6.06116854397838,1
213,"web|simple|low|multi_person",-8.23619415606649,1
214,"web|simple|low|multi_person",-7.09408360544952,1
217,"web|simple|low|multi_person",-6.90841430038417,1
219,"web|simple|low|multi_person",-4.73939829276051,1
220,"web|simple|low|multi_person",-3.8765884686141,1
221,"web|simple|low|multi_person",-4.67721367652964,1
