"resp.id","profile","incentive","frequency"
2,"web|simple|low|multi_person",-4.38371619741003,1
3,"web|simple|low|multi_person",-4.22699168162363,1
4,"web|simple|low|multi_person",-4.71940835275563,1
5,"web|simple|low|multi_person",-5.86917084663977,1
6,"web|simple|low|multi_person",-3.85600369856874,1
7,"web|simple|low|multi_person",-5.73660594788144,1
8,"web|simple|low|multi_person",-3.99670983613813,1
9,"web|simple|low|multi_person",-4.31354620096221,1
10,"web|simple|low|multi_person",-3.06393702388598,1
11,"web|simple|low|multi_person",-8.21172856770729,1
13,"web|simple|low|multi_person",-5.396412386876,1
14,"web|simple|low|multi_person",-7.60652871247898,1
15,"web|simple|low|multi_person",-4.33071404155382,1
16,"web|simple|low|multi_person",-2.77877497797496,1
17,"web|simple|low|multi_person",-5.30573346478565,1
18,"web|simple|low|multi_person",-6.01902995219979,1
19,"web|simple|low|multi_person",-4.45908156995546,1
20,"web|simple|low|multi_person",-4.03524799599038,1
21,"web|simple|low|multi_person",-4.88661751935348,1
22,"web|simple|low|multi_person",-7.64873667006483,1
23,"web|simple|low|multi_person",-4.23544492788791,1
24,"web|simple|low|multi_person",-5.47459508386014,1
26,"web|simple|low|multi_person",-2.88689952715351,1
27,"web|simple|low|multi_person",-4.43940920751174,1
28,"web|simple|low|multi_person",-8.08560276902448,1
29,"web|simple|low|multi_person",-3.50051540947877,1
31,"web|simple|low|multi_person",-3.64967559261242,1
32,"web|simple|low|multi_person",-3.75795204149099,1
33,"web|simple|low|multi_person",-6.52560372731385,1
35,"web|simple|low|multi_person",-5.59054061585867,1
36,"web|simple|low|multi_person",-6.25688437036606,1
37,"web|simple|low|multi_person",-6.24842034341175,1
38,"web|simple|low|multi_person",-3.84363232294398,1
39,"web|simple|low|multi_person",-4.11773912318788,1
41,"web|simple|low|multi_person",-4.65832993446245,1
42,"web|simple|low|multi_person",-6.33841983824366,1
43,"web|simple|low|multi_person",-4.83087422134983,1
44,"web|simple|low|multi_person",-2.56373416650668,1
45,"web|simple|low|multi_person",-5.80681250598739,1
46,"web|simple|low|multi_person",-5.82471082219044,1
47,"web|simple|low|multi_person",-3.37347176105977,1
48,"web|simple|low|multi_person",-6.17401189559659,1
49,"web|simple|low|multi_person",-6.61192892497855,1
50,"web|simple|low|multi_person",-2.94469636432366,1
51,"web|simple|low|multi_person",-5.26899974452573,1
52,"web|simple|low|multi_person",-3.8258744185048,1
53,"web|simple|low|multi_person",-4.15004090343646,1
54,"web|simple|low|multi_person",-3.35957483844441,1
55,"web|simple|low|multi_person",-6.06606984302775,1
56,"web|simple|low|multi_person",-4.82498991931952,1
57,"web|simple|low|multi_person",-3.79663657531143,1
58,"web|simple|low|multi_person",-3.26075618470072,1
60,"web|simple|low|multi_person",-4.51896567085944,1
61,"web|simple|low|multi_person",-4.07045986312817,1
62,"web|simple|low|multi_person",-5.26964492316989,1
63,"web|simple|low|multi_person",-6.57335491145562,1
64,"web|simple|low|multi_person",-8.23790262074779,1
65,"web|simple|low|multi_person",-3.52782566384936,1
68,"web|simple|low|multi_person",-6.72427723372483,1
69,"web|simple|low|multi_person",-6.9152222480798,1
70,"web|simple|low|multi_person",-5.16222271232062,1
71,"web|simple|low|multi_person",-6.0415205071419,1
72,"web|simple|low|multi_person",-4.19255218623921,1
73,"web|simple|low|multi_person",-4.90655626843397,1
74,"web|simple|low|multi_person",-3.9414515434456,1
75,"web|simple|low|multi_person",-3.70459761746696,1
76,"web|simple|low|multi_person",-3.1193894475639,1
77,"web|simple|low|multi_person",-5.60544143304661,1
78,"web|simple|low|multi_person",-3.79050546721008,1
79,"web|simple|low|multi_person",-3.83880543478169,1
80,"web|simple|low|multi_person",-5.22671752428,1
81,"web|simple|low|multi_person",-4.57234404089055,1
82,"web|simple|low|multi_person",-4.79042712936277,1
83,"web|simple|low|multi_person",-5.43664717275102,1
84,"web|simple|low|multi_person",-3.42687311712338,1
86,"web|simple|low|multi_person",-4.66276999347859,1
87,"web|simple|low|multi_person",-5.78582785130884,1
88,"web|simple|low|multi_person",-4.65816940530034,1
90,"web|simple|low|multi_person",-3.93724630121914,1
91,"web|simple|low|multi_person",-5.00567118168684,1
92,"web|simple|low|multi_person",-6.03628723293798,1
93,"web|simple|low|multi_person",-7.63166665074644,1
94,"web|simple|low|multi_person",-3.31875924759763,1
95,"web|simple|low|multi_person",-6.32674661958365,1
96,"web|simple|low|multi_person",-4.29552938377982,1
97,"web|simple|low|multi_person",-4.43112993391016,1
98,"web|simple|low|multi_person",-5.38537838719767,1
99,"web|simple|low|multi_person",-2.9250413755397,1
100,"web|simple|low|multi_person",-5.69599823914247,1
101,"web|simple|low|multi_person",-4.8235780762392,1
103,"web|simple|low|multi_person",-6.13456361206312,1
104,"web|simple|low|multi_person",-4.95913555059295,1
105,"web|simple|low|multi_person",-2.93621958312141,1
106,"web|simple|low|multi_person",-4.1246035826948,1
107,"web|simple|low|multi_person",-3.33766747669266,1
108,"web|simple|low|multi_person",-3.34754924812494,1
109,"web|simple|low|multi_person",-3.86118211378985,1
110,"web|simple|low|multi_person",-5.63537329232987,1
111,"web|simple|low|multi_person",-4.05922053722647,1
112,"web|simple|low|multi_person",-6.05290783174982,1
113,"web|simple|low|multi_person",-5.43282477341347,1
114,"web|simple|low|multi_person",-5.62405658074539,1
115,"web|simple|low|multi_person",-4.61703229876871,1
116,"web|simple|low|multi_person",-5.90830204561388,1
117,"web|simple|low|multi_person",-4.20341624336612,1
118,"web|simple|low|multi_person",-5.97839635266674,1
119,"web|simple|low|multi_person",-4.23955555254424,1
120,"web|simple|low|multi_person",-5.81383649126259,1
121,"web|simple|low|multi_person",-4.73382738676347,1
122,"web|simple|low|multi_person",-8.35246137781124,1
123,"web|simple|low|multi_person",-4.46084625777581,1
124,"web|simple|low|multi_person",-6.96599952414294,1
125,"web|simple|low|multi_person",-4.48065379568737,1
126,"web|simple|low|multi_person",-5.71694739091076,1
127,"web|simple|low|multi_person",-6.49072169199444,1
128,"web|simple|low|multi_person",-5.26213017057716,1
130,"web|simple|low|multi_person",-5.78554743179278,1
131,"web|simple|low|multi_person",-4.81613747223537,1
132,"web|simple|low|multi_person",-3.37864759482499,1
133,"web|simple|low|multi_person",-3.26673231294971,1
135,"web|simple|low|multi_person",-4.66484448722696,1
136,"web|simple|low|multi_person",-5.91977486419893,1
137,"web|simple|low|multi_person",-9.59377914113912,1
138,"web|simple|low|multi_person",-5.68656242497266,1
140,"web|simple|low|multi_person",-5.1885792419177,1
141,"web|simple|low|multi_person",-3.63442639236341,1
142,"web|simple|low|multi_person",-4.83663175732072,1
143,"web|simple|low|multi_person",-5.68275868829057,1
144,"web|simple|low|multi_person",-5.56298562433723,1
145,"web|simple|low|multi_person",-4.1712238158705,1
146,"web|simple|low|multi_person",-7.7738343638425,1
147,"web|simple|low|multi_person",-6.52673193541537,1
148,"web|simple|low|multi_person",-6.22463670610808,1
149,"web|simple|low|multi_person",-5.21113585033071,1
150,"web|simple|low|multi_person",-4.62219452907687,1
151,"web|simple|low|multi_person",-5.57632041137651,1
152,"web|simple|low|multi_person",-5.22470687402578,1
153,"web|simple|low|multi_person",-9.38281922997604,1
154,"web|simple|low|multi_person",-6.58967186099538,1
155,"web|simple|low|multi_person",-6.99886833932122,1
156,"web|simple|low|multi_person",-3.93845084934765,1
157,"web|simple|low|multi_person",-4.56950874811295,1
158,"web|simple|low|multi_person",-4.96200181234127,1
159,"web|simple|low|multi_person",-5.63844788590018,1
160,"web|simple|low|multi_person",-4.2494700077592,1
162,"web|simple|low|multi_person",-5.25886623067178,1
163,"web|simple|low|multi_person",-3.12011750816738,1
164,"web|simple|low|multi_person",-4.39848848349991,1
165,"web|simple|low|multi_person",-3.32242342023849,1
166,"web|simple|low|multi_person",-4.70322994049392,1
167,"web|simple|low|multi_person",-6.17922804669307,1
168,"web|simple|low|multi_person",-5.24282398948758,1
169,"web|simple|low|multi_person",-6.52589469348369,1
170,"web|simple|low|multi_person",-5.71358544292497,1
171,"web|simple|low|multi_person",-5.42871071345027,1
172,"web|simple|low|multi_person",-4.98452818774757,1
173,"web|simple|low|multi_person",-3.11117634126173,1
174,"web|simple|low|multi_person",-6.30415920600752,1
175,"web|simple|low|multi_person",-4.6619981087332,1
176,"web|simple|low|multi_person",-5.94715475417231,1
177,"web|simple|low|multi_person",-3.71421665992685,1
178,"web|simple|low|multi_person",-4.3508212414505,1
179,"web|simple|low|multi_person",-7.54480295446631,1
180,"web|simple|low|multi_person",-4.33839099848758,1
181,"web|simple|low|multi_person",-6.27500760265144,1
183,"web|simple|low|multi_person",-4.8505497852704,1
184,"web|simple|low|multi_person",-3.27262185260941,1
186,"web|simple|low|multi_person",-4.05342441362693,1
187,"web|simple|low|multi_person",-4.72810535057349,1
188,"web|simple|low|multi_person",-3.71081274612288,1
189,"web|simple|low|multi_person",-7.01270573045571,1
190,"web|simple|low|multi_person",-7.23835162320521,1
191,"web|simple|low|multi_person",-6.35865192872056,1
192,"web|simple|low|multi_person",-4.59183490582642,1
194,"web|simple|low|multi_person",-3.82526334093749,1
195,"web|simple|low|multi_person",-1.35107741178554,1
196,"web|simple|low|multi_person",-4.68657268157359,1
197,"web|simple|low|multi_person",-6.78366958511589,1
198,"web|simple|low|multi_person",-5.04427078694742,1
199,"web|simple|low|multi_person",-5.61314062757858,1
200,"web|simple|low|multi_person",-5.7697236098397,1
201,"web|simple|low|multi_person",-5.251807222291,1
202,"web|simple|low|multi_person",-6.6523997761471,1
203,"web|simple|low|multi_person",-4.29130339080236,1
205,"web|simple|low|multi_person",-4.51089964725199,1
206,"web|simple|low|multi_person",-3.94127031025084,1
207,"web|simple|low|multi_person",-3.74123561934878,1
208,"web|simple|low|multi_person",-6.57232895300755,1
209,"web|simple|low|multi_person",-6.22678047596427,1
210,"web|simple|low|multi_person",-5.57400726846634,1
211,"web|simple|low|multi_person",-4.13109567110434,1
212,"web|simple|low|multi_person",-5.30076211962234,1
213,"web|simple|low|multi_person",-5.37360319116516,1
214,"web|simple|low|multi_person",-5.54786063158538,1
217,"web|simple|low|multi_person",-5.17834485799387,1
219,"web|simple|low|multi_person",-3.6223384032853,1
220,"web|simple|low|multi_person",-7.42920223064368,1
221,"web|simple|low|multi_person",-3.80715475846481,1
222,"web|simple|low|multi_person",-6.06948441803486,1
223,"web|simple|low|multi_person",-4.40997272284921,1
224,"web|simple|low|multi_person",-5.9102175249638,1
225,"web|simple|low|multi_person",-3.29993107217212,1
226,"web|simple|low|multi_person",-5.30212668814067,1
227,"web|simple|low|multi_person",-5.5139207545676,1
228,"web|simple|low|multi_person",-4.71017537028172,1
230,"web|simple|low|multi_person",-5.94793523834097,1
231,"web|simple|low|multi_person",-5.03522728136648,1
232,"web|simple|low|multi_person",-5.04896491137601,1
233,"web|simple|low|multi_person",-6.00813810174241,1
234,"web|simple|low|multi_person",-4.59168201870513,1
235,"web|simple|low|multi_person",-3.29503379013725,1
236,"web|simple|low|multi_person",-4.97949018328585,1
237,"web|simple|low|multi_person",-5.35466109437112,1
238,"web|simple|low|multi_person",-5.69779735984861,1
239,"web|simple|low|multi_person",-3.81818698736213,1
240,"web|simple|low|multi_person",-4.40616068527373,1
241,"web|simple|low|multi_person",-6.11387864548276,1
242,"web|simple|low|multi_person",-5.55573059119941,1
243,"web|simple|low|multi_person",-4.72331689566437,1
245,"web|simple|low|multi_person",-4.41344255320998,1
246,"web|simple|low|multi_person",-3.45211562455063,1
247,"web|simple|low|multi_person",-6.03787293008229,1
248,"web|simple|low|multi_person",-5.35520356832099,1
249,"web|simple|low|multi_person",-3.16529074748338,1
250,"web|simple|low|multi_person",-4.29013780717739,1
251,"web|simple|low|multi_person",-5.56106207427193,1
252,"web|simple|low|multi_person",-3.87740031415674,1
253,"web|simple|low|multi_person",-6.26763876082514,1
254,"web|simple|low|multi_person",-2.99256781079021,1
256,"web|simple|low|multi_person",-3.12280884084667,1
258,"web|simple|low|multi_person",-4.01017594861986,1
259,"web|simple|low|multi_person",-4.97441472268605,1
260,"web|simple|low|multi_person",-4.25757786760039,1
261,"web|simple|low|multi_person",-3.43021448229021,1
263,"web|simple|low|multi_person",-5.07036014845796,1
264,"web|simple|low|multi_person",-5.17120368849856,1
265,"web|simple|low|multi_person",-5.6914540388453,1
266,"web|simple|low|multi_person",-2.96665487642969,1
267,"web|simple|low|multi_person",-5.03246368418502,1
268,"web|simple|low|multi_person",-4.86268224464368,1
269,"web|simple|low|multi_person",-2.79870047052962,1
270,"web|simple|low|multi_person",-4.0021702657724,1
271,"web|simple|low|multi_person",-4.91294020045751,1
272,"web|simple|low|multi_person",-5.59382270796922,1
273,"web|simple|low|multi_person",-3.04876224544888,1
274,"web|simple|low|multi_person",-6.53621511230921,1
