"resp.id","profile","incentive","frequency"
2,"web|simple|low|multi_person",-8.0824338034056,1
3,"web|simple|low|multi_person",-5.56117916145192,1
4,"web|simple|low|multi_person",-3.69527594677385,1
5,"web|simple|low|multi_person",-6.7948034191558,1
6,"web|simple|low|multi_person",-3.62617075088151,1
7,"web|simple|low|multi_person",-6.8670087400509,1
8,"web|simple|low|multi_person",-4.73070408298045,1
9,"web|simple|low|multi_person",6.8408577292543,1
10,"web|simple|low|multi_person",-6.94222642022185,1
11,"web|simple|low|multi_person",-5.1419693341856,1
13,"web|simple|low|multi_person",-6.03448422949566,1
14,"web|simple|low|multi_person",-3.01858456445093,1
15,"web|simple|low|multi_person",-4.96370173328691,1
16,"web|simple|low|multi_person",-1.53311701929458,1
17,"web|simple|low|multi_person",-5.64985714328109,1
18,"web|simple|low|multi_person",-6.67117779024858,1
19,"web|simple|low|multi_person",-4.76808280996901,1
20,"web|simple|low|multi_person",-3.19347173413336,1
21,"web|simple|low|multi_person",-5.98449726678255,1
22,"web|simple|low|multi_person",-1.76246271920838,1
23,"web|simple|low|multi_person",-3.4683596140071,1
24,"web|simple|low|multi_person",0.0318346760051542,1
26,"web|simple|low|multi_person",-5.28729391323846,1
27,"web|simple|low|multi_person",-4.64072016488406,1
28,"web|simple|low|multi_person",-3.75320920797869,1
29,"web|simple|low|multi_person",-4.43559476888706,1
31,"web|simple|low|multi_person",-7.81333864059416,1
32,"web|simple|low|multi_person",-4.46761824385887,1
33,"web|simple|low|multi_person",-4.1872569297717,1
35,"web|simple|low|multi_person",-3.41375338179158,1
36,"web|simple|low|multi_person",-5.73725572715285,1
37,"web|simple|low|multi_person",-3.81298298409555,1
38,"web|simple|low|multi_person",-5.5806356088136,1
39,"web|simple|low|multi_person",-3.65291183816939,1
41,"web|simple|low|multi_person",-3.58488028155738,1
42,"web|simple|low|multi_person",-6.24916976878135,1
43,"web|simple|low|multi_person",-6.01393099644936,1
44,"web|simple|low|multi_person",-3.29007563105095,1
45,"web|simple|low|multi_person",-4.81873515589942,1
46,"web|simple|low|multi_person",-5.99839098602589,1
47,"web|simple|low|multi_person",-4.09261716929046,1
48,"web|simple|low|multi_person",-2.92222351583779,1
49,"web|simple|low|multi_person",-3.6704386330862,1
50,"web|simple|low|multi_person",-3.47182336759646,1
51,"web|simple|low|multi_person",-5.03524265877856,1
52,"web|simple|low|multi_person",-3.36948228147728,1
53,"web|simple|low|multi_person",-2.86287875434703,1
54,"web|simple|low|multi_person",-6.10901827636585,1
55,"web|simple|low|multi_person",-4.89845657279752,1
56,"web|simple|low|multi_person",-3.46635473673026,1
57,"web|simple|low|multi_person",-4.21817245428223,1
58,"web|simple|low|multi_person",2.93547700387553,1
60,"web|simple|low|multi_person",-4.01306838220369,1
61,"web|simple|low|multi_person",-3.66155512425772,1
62,"web|simple|low|multi_person",-4.10201477655417,1
63,"web|simple|low|multi_person",-5.93921234024834,1
64,"web|simple|low|multi_person",-4.92564752951064,1
65,"web|simple|low|multi_person",-4.82247765655913,1
68,"web|simple|low|multi_person",-3.36511411039957,1
69,"web|simple|low|multi_person",-6.66523910240503,1
70,"web|simple|low|multi_person",-2.58362772724877,1
71,"web|simple|low|multi_person",-3.58529688516789,1
72,"web|simple|low|multi_person",-4.28171520058846,1
73,"web|simple|low|multi_person",-2.7989636923498,1
74,"web|simple|low|multi_person",-5.46094397769339,1
75,"web|simple|low|multi_person",-4.44243503929426,1
76,"web|simple|low|multi_person",-5.76533226387085,1
77,"web|simple|low|multi_person",-2.06440786946409,1
78,"web|simple|low|multi_person",-4.11513118249196,1
79,"web|simple|low|multi_person",-5.50610274895319,1
80,"web|simple|low|multi_person",-4.02937791029773,1
81,"web|simple|low|multi_person",-4.27845764894456,1
82,"web|simple|low|multi_person",-3.05074399124761,1
83,"web|simple|low|multi_person",-4.17170301836648,1
84,"web|simple|low|multi_person",-7.07742028154496,1
86,"web|simple|low|multi_person",-4.42603280645559,1
87,"web|simple|low|multi_person",-2.77856341637269,1
88,"web|simple|low|multi_person",-3.39420347875977,1
90,"web|simple|low|multi_person",-3.45883821845185,1
91,"web|simple|low|multi_person",-5.32217958655268,1
92,"web|simple|low|multi_person",-3.54948158283859,1
93,"web|simple|low|multi_person",-3.74809241806517,1
94,"web|simple|low|multi_person",-6.01381554448412,1
95,"web|simple|low|multi_person",-3.54407291215267,1
96,"web|simple|low|multi_person",-4.72617800270014,1
97,"web|simple|low|multi_person",-3.91202770571007,1
98,"web|simple|low|multi_person",-3.40585586230756,1
99,"web|simple|low|multi_person",-4.59062671229589,1
100,"web|simple|low|multi_person",-5.04489050592273,1
101,"web|simple|low|multi_person",-3.56689320029396,1
103,"web|simple|low|multi_person",-2.02815147424804,1
104,"web|simple|low|multi_person",-4.48779471838173,1
105,"web|simple|low|multi_person",-2.52861261115269,1
106,"web|simple|low|multi_person",-5.37393421759216,1
107,"web|simple|low|multi_person",-4.35574944826655,1
108,"web|simple|low|multi_person",3.18170782059978,1
109,"web|simple|low|multi_person",-3.54757250322487,1
110,"web|simple|low|multi_person",-1.89250900733173,1
111,"web|simple|low|multi_person",-4.27235559378523,1
112,"web|simple|low|multi_person",-8.53263522331295,1
113,"web|simple|low|multi_person",-3.62519897864788,1
114,"web|simple|low|multi_person",-4.60731756306903,1
115,"web|simple|low|multi_person",-5.50852084972184,1
116,"web|simple|low|multi_person",-7.3595437895982,1
117,"web|simple|low|multi_person",-3.52713791360939,1
118,"web|simple|low|multi_person",-4.22042142378482,1
119,"web|simple|low|multi_person",-4.72913680441007,1
120,"web|simple|low|multi_person",-4.24600473406232,1
121,"web|simple|low|multi_person",-3.1389031528825,1
122,"web|simple|low|multi_person",-4.04202212019848,1
123,"web|simple|low|multi_person",2.76184250989542,1
124,"web|simple|low|multi_person",-1.77855353656468,1
125,"web|simple|low|multi_person",-4.6897649066791,1
126,"web|simple|low|multi_person",-4.91174963968586,1
127,"web|simple|low|multi_person",-5.00916979258611,1
128,"web|simple|low|multi_person",-4.88087360346822,1
130,"web|simple|low|multi_person",-5.03879564582228,1
131,"web|simple|low|multi_person",-3.33632547510258,1
132,"web|simple|low|multi_person",-8.20056645471093,1
133,"web|simple|low|multi_person",-5.7328792079921,1
135,"web|simple|low|multi_person",-4.14173009088835,1
136,"web|simple|low|multi_person",-7.073778738819,1
137,"web|simple|low|multi_person",-3.04491305572484,1
138,"web|simple|low|multi_person",-3.47995879964939,1
140,"web|simple|low|multi_person",-4.36130817502341,1
141,"web|simple|low|multi_person",3.00748081366129,1
142,"web|simple|low|multi_person",-3.85208733108778,1
143,"web|simple|low|multi_person",-5.64139355866957,1
144,"web|simple|low|multi_person",-3.04525078783634,1
145,"web|simple|low|multi_person",-3.71092747122455,1
146,"web|simple|low|multi_person",-3.81772873315899,1
147,"web|simple|low|multi_person",5.50207247530879,1
148,"web|simple|low|multi_person",-5.11120654545639,1
149,"web|simple|low|multi_person",-3.85877549294326,1
150,"web|simple|low|multi_person",-4.22787063674197,1
151,"web|simple|low|multi_person",-4.38166292222488,1
152,"web|simple|low|multi_person",5.22739877027686,1
153,"web|simple|low|multi_person",-3.70761865653634,1
154,"web|simple|low|multi_person",-4.34906131459601,1
155,"web|simple|low|multi_person",-4.99106318709756,1
156,"web|simple|low|multi_person",-8.64918829798959,1
157,"web|simple|low|multi_person",-7.31191680007686,1
158,"web|simple|low|multi_person",-4.02495837172629,1
159,"web|simple|low|multi_person",-12.7605503693627,1
160,"web|simple|low|multi_person",-3.96524456533642,1
162,"web|simple|low|multi_person",-2.97616915913052,1
163,"web|simple|low|multi_person",-3.82169821339797,1
164,"web|simple|low|multi_person",-2.39013152347662,1
165,"web|simple|low|multi_person",-2.47498142740479,1
166,"web|simple|low|multi_person",1.99442616650729,1
167,"web|simple|low|multi_person",-2.29203280414325,1
168,"web|simple|low|multi_person",-3.72417745447477,1
169,"web|simple|low|multi_person",-8.88485584270931,1
170,"web|simple|low|multi_person",-5.39315752360867,1
171,"web|simple|low|multi_person",-4.78017260687025,1
172,"web|simple|low|multi_person",-6.15955200431804,1
173,"web|simple|low|multi_person",-5.37759505411013,1
174,"web|simple|low|multi_person",-4.3431700313654,1
175,"web|simple|low|multi_person",-3.71403758085653,1
176,"web|simple|low|multi_person",-3.27340754229389,1
177,"web|simple|low|multi_person",-6.9506334743782,1
178,"web|simple|low|multi_person",-6.3815927360167,1
179,"web|simple|low|multi_person",-3.49901442049026,1
180,"web|simple|low|multi_person",3.36348978970116,1
181,"web|simple|low|multi_person",-2.70765988771482,1
183,"web|simple|low|multi_person",-4.29892012277966,1
184,"web|simple|low|multi_person",-6.55078468816831,1
186,"web|simple|low|multi_person",-6.12798519838511,1
187,"web|simple|low|multi_person",-4.41212285989052,1
188,"web|simple|low|multi_person",-4.13884379185922,1
189,"web|simple|low|multi_person",-4.5485621406376,1
190,"web|simple|low|multi_person",-7.74644088892656,1
191,"web|simple|low|multi_person",-2.89264420736781,1
192,"web|simple|low|multi_person",-3.52446399600398,1
194,"web|simple|low|multi_person",-6.51378630377764,1
195,"web|simple|low|multi_person",-3.56849233330213,1
196,"web|simple|low|multi_person",-3.98875229193161,1
197,"web|simple|low|multi_person",10.6034765649801,1
198,"web|simple|low|multi_person",-6.18778403965976,1
199,"web|simple|low|multi_person",-4.42120923282795,1
200,"web|simple|low|multi_person",-6.50976069924908,1
201,"web|simple|low|multi_person",-5.98509023306745,1
202,"web|simple|low|multi_person",-4.9590352485483,1
203,"web|simple|low|multi_person",-5.20233410241369,1
205,"web|simple|low|multi_person",-6.6756201304174,1
206,"web|simple|low|multi_person",-4.0725174097217,1
207,"web|simple|low|multi_person",-3.81749286808504,1
208,"web|simple|low|multi_person",-3.98602691492747,1
209,"web|simple|low|multi_person",-2.94625918993648,1
210,"web|simple|low|multi_person",-5.76673110015638,1
211,"web|simple|low|multi_person",-2.82181668262624,1
212,"web|simple|low|multi_person",-2.95748129464818,1
213,"web|simple|low|multi_person",7.14508368386131,1
214,"web|simple|low|multi_person",-3.14941968001343,1
217,"web|simple|low|multi_person",-5.099571371157,1
219,"web|simple|low|multi_person",-2.29259218802337,1
220,"web|simple|low|multi_person",-3.26439291084356,1
221,"web|simple|low|multi_person",-3.10905277121103,1
222,"web|simple|low|multi_person",-2.84781382257182,1
223,"web|simple|low|multi_person",-1.76759453376115,1
224,"web|simple|low|multi_person",11.5816123745477,1
225,"web|simple|low|multi_person",-2.81120551838567,1
226,"web|simple|low|multi_person",-6.22738529005883,1
227,"web|simple|low|multi_person",-3.16776226755337,1
228,"web|simple|low|multi_person",-4.85099251381936,1
230,"web|simple|low|multi_person",-9.39326452235589,1
231,"web|simple|low|multi_person",-2.22485110908322,1
232,"web|simple|low|multi_person",-6.14128335936282,1
233,"web|simple|low|multi_person",-5.80618045903848,1
234,"web|simple|low|multi_person",-2.89949806572129,1
235,"web|simple|low|multi_person",-3.39604403379,1
236,"web|simple|low|multi_person",-8.1616799332944,1
237,"web|simple|low|multi_person",-3.78944330527725,1
238,"web|simple|low|multi_person",-6.92425607190348,1
239,"web|simple|low|multi_person",-5.88627655695993,1
240,"web|simple|low|multi_person",-5.74533628570381,1
241,"web|simple|low|multi_person",-1.53296911577153,1
242,"web|simple|low|multi_person",-3.94858831315486,1
243,"web|simple|low|multi_person",-3.94529092026648,1
245,"web|simple|low|multi_person",-4.54721435439053,1
246,"web|simple|low|multi_person",-3.74808618436653,1
247,"web|simple|low|multi_person",-4.43580151016113,1
248,"web|simple|low|multi_person",-5.06994521436799,1
249,"web|simple|low|multi_person",-4.10417398999588,1
250,"web|simple|low|multi_person",-3.0677312484466,1
251,"web|simple|low|multi_person",-5.51773388015599,1
252,"web|simple|low|multi_person",-3.76032115360083,1
253,"web|simple|low|multi_person",-3.61474981475617,1
254,"web|simple|low|multi_person",-5.85851671349156,1
256,"web|simple|low|multi_person",-5.244658999337,1
258,"web|simple|low|multi_person",-3.28337670193327,1
259,"web|simple|low|multi_person",-3.87068251888395,1
260,"web|simple|low|multi_person",-2.99527691272272,1
261,"web|simple|low|multi_person",-5.69460438491822,1
263,"web|simple|low|multi_person",-8.82884171724866,1
264,"web|simple|low|multi_person",-5.2834498154766,1
265,"web|simple|low|multi_person",-10.0201875527294,1
266,"web|simple|low|multi_person",-3.74458643743243,1
267,"web|simple|low|multi_person",-7.77164832522064,1
268,"web|simple|low|multi_person",-3.80540600924949,1
269,"web|simple|low|multi_person",-3.43440782274866,1
270,"web|simple|low|multi_person",-4.17003677794478,1
271,"web|simple|low|multi_person",-4.03857830936396,1
272,"web|simple|low|multi_person",-4.12747645434794,1
273,"web|simple|low|multi_person",-11.1115966023732,1
274,"web|simple|low|multi_person",-7.62923461356096,1
275,"web|simple|low|multi_person",-4.78626594839833,1
276,"web|simple|low|multi_person",-5.9287238883781,1
277,"web|simple|low|multi_person",-8.79801354982648,1
279,"web|simple|low|multi_person",-3.44324238004504,1
280,"web|simple|low|multi_person",-4.25021333052057,1
281,"web|simple|low|multi_person",-2.49550515655159,1
282,"web|simple|low|multi_person",-7.39560784307414,1
283,"web|simple|low|multi_person",-7.94619147891427,1
