"resp.id","profile","incentive","frequency"
2,"web|simple|low|multi_person",-5.68014769324892,1
3,"web|simple|low|multi_person",-10.6461375656866,1
4,"web|simple|low|multi_person",-8.36354550185047,1
5,"web|simple|low|multi_person",-9.15887238779385,1
6,"web|simple|low|multi_person",-9.30171981113979,1
7,"web|simple|low|multi_person",-8.12490092455334,1
8,"web|simple|low|multi_person",-7.81999054930601,1
9,"web|simple|low|multi_person",-6.87184337393015,1
10,"web|simple|low|multi_person",-8.22159125161163,1
11,"web|simple|low|multi_person",-8.37026354511162,1
13,"web|simple|low|multi_person",-9.22989167184164,1
14,"web|simple|low|multi_person",-7.51168093788782,1
15,"web|simple|low|multi_person",-8.99612211129989,1
16,"web|simple|low|multi_person",-8.50112119620483,1
17,"web|simple|low|multi_person",-8.35020973099551,1
18,"web|simple|low|multi_person",-6.92766660713178,1
19,"web|simple|low|multi_person",-8.08826458024397,1
20,"web|simple|low|multi_person",-9.4401115794584,1
21,"web|simple|low|multi_person",-9.36173961029456,1
22,"web|simple|low|multi_person",-8.49050946112824,1
23,"web|simple|low|multi_person",-7.20289565823918,1
24,"web|simple|low|multi_person",-8.63280650196269,1
26,"web|simple|low|multi_person",-9.86384371372521,1
27,"web|simple|low|multi_person",-6.76022136144363,1
28,"web|simple|low|multi_person",-7.98120535260295,1
29,"web|simple|low|multi_person",-7.89409994083599,1
31,"web|simple|low|multi_person",-9.69211770926762,1
32,"web|simple|low|multi_person",-6.90189259084525,1
33,"web|simple|low|multi_person",-6.14135250722537,1
35,"web|simple|low|multi_person",-8.79773264254669,1
36,"web|simple|low|multi_person",-7.89201869538826,1
37,"web|simple|low|multi_person",-7.85367634859939,1
38,"web|simple|low|multi_person",-7.64276943276769,1
39,"web|simple|low|multi_person",-7.21245453132162,1
41,"web|simple|low|multi_person",-8.40876901929157,1
42,"web|simple|low|multi_person",-8.05944628448901,1
43,"web|simple|low|multi_person",-5.50385106862957,1
44,"web|simple|low|multi_person",-9.79345165183043,1
45,"web|simple|low|multi_person",-8.3639418942283,1
46,"web|simple|low|multi_person",-7.70630420350245,1
47,"web|simple|low|multi_person",-9.35342355723888,1
48,"web|simple|low|multi_person",-8.65588845087978,1
49,"web|simple|low|multi_person",-8.88478118684404,1
50,"web|simple|low|multi_person",-7.45044826097959,1
51,"web|simple|low|multi_person",-9.64793424017419,1
52,"web|simple|low|multi_person",-8.52089174641472,1
53,"web|simple|low|multi_person",-8.46327657144161,1
54,"web|simple|low|multi_person",-8.48186382559946,1
55,"web|simple|low|multi_person",-8.58772844888718,1
56,"web|simple|low|multi_person",-7.94707883353529,1
57,"web|simple|low|multi_person",-8.53445099932058,1
58,"web|simple|low|multi_person",-8.26544594941558,1
60,"web|simple|low|multi_person",-7.66821907068079,1
61,"web|simple|low|multi_person",-11.6976923228163,1
62,"web|simple|low|multi_person",-6.16561280545743,1
63,"web|simple|low|multi_person",-8.2715349445574,1
64,"web|simple|low|multi_person",-8.38646389698963,1
65,"web|simple|low|multi_person",-8.81878617788629,1
68,"web|simple|low|multi_person",-8.27048121138501,1
69,"web|simple|low|multi_person",-8.97218070215769,1
70,"web|simple|low|multi_person",-6.95839302579902,1
71,"web|simple|low|multi_person",-10.4543397863431,1
72,"web|simple|low|multi_person",-8.70858541613082,1
73,"web|simple|low|multi_person",-8.77120677914337,1
74,"web|simple|low|multi_person",-9.55957573665516,1
75,"web|simple|low|multi_person",-8.39161225896187,1
76,"web|simple|low|multi_person",-8.45067025571757,1
77,"web|simple|low|multi_person",-8.26615036989032,1
78,"web|simple|low|multi_person",-9.80054694610983,1
79,"web|simple|low|multi_person",-6.92493845946487,1
80,"web|simple|low|multi_person",-5.59002677858306,1
81,"web|simple|low|multi_person",-6.40240586247217,1
82,"web|simple|low|multi_person",-8.76097562270657,1
83,"web|simple|low|multi_person",-5.68794246276734,1
84,"web|simple|low|multi_person",-8.55449553348753,1
86,"web|simple|low|multi_person",-8.99318397767354,1
87,"web|simple|low|multi_person",-8.63589022279264,1
88,"web|simple|low|multi_person",-7.59235880993204,1
90,"web|simple|low|multi_person",-7.68872177347343,1
91,"web|simple|low|multi_person",-7.22475276275926,1
92,"web|simple|low|multi_person",-7.49150333262833,1
93,"web|simple|low|multi_person",-9.3639090164269,1
94,"web|simple|low|multi_person",-6.13878404920449,1
95,"web|simple|low|multi_person",-7.70316636888517,1
96,"web|simple|low|multi_person",-7.46209502636546,1
97,"web|simple|low|multi_person",-9.34616205695402,1
98,"web|simple|low|multi_person",-6.5046932268385,1
99,"web|simple|low|multi_person",-7.74388580067973,1
100,"web|simple|low|multi_person",-7.02724624381401,1
101,"web|simple|low|multi_person",-8.40959363875265,1
103,"web|simple|low|multi_person",-8.77923785401051,1
104,"web|simple|low|multi_person",-7.79072317915445,1
105,"web|simple|low|multi_person",-7.3318514745194,1
106,"web|simple|low|multi_person",-8.83161507717123,1
107,"web|simple|low|multi_person",-8.5532406079604,1
108,"web|simple|low|multi_person",-8.12692422392109,1
109,"web|simple|low|multi_person",-7.875368607201,1
110,"web|simple|low|multi_person",-9.16092474863633,1
111,"web|simple|low|multi_person",-7.61441574775901,1
112,"web|simple|low|multi_person",-5.5440131958012,1
113,"web|simple|low|multi_person",-8.23961143081493,1
114,"web|simple|low|multi_person",-8.98592905996696,1
115,"web|simple|low|multi_person",-8.6839525971019,1
116,"web|simple|low|multi_person",-7.06745130320078,1
117,"web|simple|low|multi_person",-9.45736686184057,1
118,"web|simple|low|multi_person",-6.78625661414108,1
119,"web|simple|low|multi_person",-9.90753303780164,1
120,"web|simple|low|multi_person",-7.34882209552327,1
121,"web|simple|low|multi_person",-8.06575442812352,1
122,"web|simple|low|multi_person",-9.05574407089144,1
123,"web|simple|low|multi_person",-7.01573896086082,1
124,"web|simple|low|multi_person",-7.71445405512244,1
125,"web|simple|low|multi_person",-9.96443592916223,1
126,"web|simple|low|multi_person",-7.3778903822745,1
127,"web|simple|low|multi_person",-8.00127759570636,1
128,"web|simple|low|multi_person",-7.65422792008579,1
130,"web|simple|low|multi_person",-7.90968768538003,1
131,"web|simple|low|multi_person",-4.73416814971065,1
132,"web|simple|low|multi_person",-7.19868467349073,1
133,"web|simple|low|multi_person",-9.35930249598672,1
