"resp.id","profile","incentive","frequency"
2,"web|simple|low|multi_person",-4.14608046755666,1
3,"web|simple|low|multi_person",-5.2314502920163,1
4,"web|simple|low|multi_person",-4.89993686756602,1
5,"web|simple|low|multi_person",-4.37451585572722,1
6,"web|simple|low|multi_person",-4.78974530035161,1
7,"web|simple|low|multi_person",-5.0225645233533,1
8,"web|simple|low|multi_person",-4.46792449156583,1
9,"web|simple|low|multi_person",-4.04786390596153,1
10,"web|simple|low|multi_person",-4.11411745256991,1
11,"web|simple|low|multi_person",-4.41897735492999,1
13,"web|simple|low|multi_person",-4.26405407949748,1
14,"web|simple|low|multi_person",-5.22286691834061,1
15,"web|simple|low|multi_person",-6.48086629025462,1
16,"web|simple|low|multi_person",-6.11987570433346,1
17,"web|simple|low|multi_person",-3.84331202603285,1
18,"web|simple|low|multi_person",-4.05398979308296,1
19,"web|simple|low|multi_person",-4.09800877626146,1
20,"web|simple|low|multi_person",-4.16105435363942,1
21,"web|simple|low|multi_person",-4.70808549439703,1
22,"web|simple|low|multi_person",-4.85974801060998,1
23,"web|simple|low|multi_person",-4.48868563514038,1
24,"web|simple|low|multi_person",-5.24581175855472,1
26,"web|simple|low|multi_person",-3.93160848475015,1
27,"web|simple|low|multi_person",-4.11772884414143,1
28,"web|simple|low|multi_person",-4.71321457314535,1
29,"web|simple|low|multi_person",-4.52075895398942,1
31,"web|simple|low|multi_person",-4.01491112531957,1
32,"web|simple|low|multi_person",-4.39712099246243,1
33,"web|simple|low|multi_person",-5.76834608242231,1
35,"web|simple|low|multi_person",-5.33274823679491,1
36,"web|simple|low|multi_person",-6.0555345437506,1
37,"web|simple|low|multi_person",-5.39978385005117,1
38,"web|simple|low|multi_person",-4.1761173171108,1
39,"web|simple|low|multi_person",-4.06009534676831,1
41,"web|simple|low|multi_person",-3.85881115291794,1
42,"web|simple|low|multi_person",-4.49340508212302,1
43,"web|simple|low|multi_person",-5.23095496029413,1
44,"web|simple|low|multi_person",-5.99895105658083,1
45,"web|simple|low|multi_person",-3.68116571583213,1
46,"web|simple|low|multi_person",-4.98994636366036,1
47,"web|simple|low|multi_person",-3.58999424607399,1
48,"web|simple|low|multi_person",-5.37323575816881,1
49,"web|simple|low|multi_person",-5.36338638922356,1
50,"web|simple|low|multi_person",-5.58722660585038,1
51,"web|simple|low|multi_person",-4.84762198238032,1
52,"web|simple|low|multi_person",-5.03534979243279,1
53,"web|simple|low|multi_person",-5.34481941348699,1
54,"web|simple|low|multi_person",-3.47291421882102,1
55,"web|simple|low|multi_person",-3.67576566043637,1
56,"web|simple|low|multi_person",-5.09801733558681,1
57,"web|simple|low|multi_person",-5.55006516999379,1
58,"web|simple|low|multi_person",-5.37077642273117,1
60,"web|simple|low|multi_person",-5.67033867934419,1
61,"web|simple|low|multi_person",-5.64861249586396,1
62,"web|simple|low|multi_person",-3.96064146630828,1
63,"web|simple|low|multi_person",-4.16598632657302,1
64,"web|simple|low|multi_person",-5.98655578380962,1
65,"web|simple|low|multi_person",-5.2319468386713,1
68,"web|simple|low|multi_person",-4.68768543627425,1
69,"web|simple|low|multi_person",-5.21297616367821,1
70,"web|simple|low|multi_person",-4.96183784347755,1
71,"web|simple|low|multi_person",-4.74219203896515,1
72,"web|simple|low|multi_person",-4.38617644873641,1
73,"web|simple|low|multi_person",-4.44440317383,1
74,"web|simple|low|multi_person",-6.73033575864331,1
75,"web|simple|low|multi_person",-4.59156141040673,1
76,"web|simple|low|multi_person",-5.28259013102523,1
77,"web|simple|low|multi_person",-4.74522668794924,1
78,"web|simple|low|multi_person",-3.90590904859846,1
79,"web|simple|low|multi_person",-5.15298866066137,1
80,"web|simple|low|multi_person",-4.45209397043842,1
