"resp.id","profile","incentive","frequency"
2,"web|simple|low|multi_person",-17.178812860669,1
3,"web|simple|low|multi_person",-12.4771089048882,1
4,"web|simple|low|multi_person",-15.0564358946794,1
5,"web|simple|low|multi_person",-11.2665039191433,1
6,"web|simple|low|multi_person",-13.8454964464652,1
7,"web|simple|low|multi_person",-14.3194767774054,1
8,"web|simple|low|multi_person",-9.85229988732897,1
9,"web|simple|low|multi_person",-16.2922320190628,1
10,"web|simple|low|multi_person",-10.8122184871163,1
11,"web|simple|low|multi_person",-10.1183539681257,1
13,"web|simple|low|multi_person",-10.995444275775,1
14,"web|simple|low|multi_person",-15.3056167777488,1
15,"web|simple|low|multi_person",-12.8886823690464,1
16,"web|simple|low|multi_person",-17.6672043813703,1
17,"web|simple|low|multi_person",-18.7106616821678,1
18,"web|simple|low|multi_person",-10.012106362818,1
19,"web|simple|low|multi_person",-13.6141926521915,1
20,"web|simple|low|multi_person",-10.1780153651042,1
21,"web|simple|low|multi_person",-12.1163563040692,1
22,"web|simple|low|multi_person",-15.6188295939374,1
23,"web|simple|low|multi_person",-9.92226026389157,1
24,"web|simple|low|multi_person",-9.64894064296763,1
26,"web|simple|low|multi_person",-9.63477661683092,1
27,"web|simple|low|multi_person",-10.6566735031436,1
28,"web|simple|low|multi_person",-10.0584225437794,1
29,"web|simple|low|multi_person",-9.63515300992044,1
31,"web|simple|low|multi_person",-10.4726219418942,1
32,"web|simple|low|multi_person",-15.3573216945396,1
33,"web|simple|low|multi_person",-10.7843698816224,1
35,"web|simple|low|multi_person",-9.82371675626669,1
36,"web|simple|low|multi_person",-10.9740899541628,1
37,"web|simple|low|multi_person",-10.5119214768346,1
38,"web|simple|low|multi_person",-9.98120466731291,1
39,"web|simple|low|multi_person",-13.1739852843225,1
41,"web|simple|low|multi_person",-10.3237960267835,1
42,"web|simple|low|multi_person",-12.5937992051527,1
43,"web|simple|low|multi_person",-15.2204901513498,1
44,"web|simple|low|multi_person",-18.9352469927185,1
45,"web|simple|low|multi_person",-13.5951986063019,1
46,"web|simple|low|multi_person",-11.9412511433299,1
47,"web|simple|low|multi_person",-8.72140225342879,1
48,"web|simple|low|multi_person",-11.5201553275024,1
49,"web|simple|low|multi_person",-10.2254580670102,1
50,"web|simple|low|multi_person",-9.96900075390456,1
51,"web|simple|low|multi_person",-11.3224200382493,1
52,"web|simple|low|multi_person",-13.7685927946599,1
53,"web|simple|low|multi_person",-9.5073252726685,1
54,"web|simple|low|multi_person",-12.675757129502,1
55,"web|simple|low|multi_person",-9.10054823476682,1
56,"web|simple|low|multi_person",-10.8666164395609,1
57,"web|simple|low|multi_person",-17.4781041872426,1
58,"web|simple|low|multi_person",-10.2974287360638,1
60,"web|simple|low|multi_person",-9.92855122362999,1
61,"web|simple|low|multi_person",-8.6284048061248,1
62,"web|simple|low|multi_person",-11.174509671974,1
63,"web|simple|low|multi_person",-10.2256473998952,1
64,"web|simple|low|multi_person",-9.95887777079476,1
65,"web|simple|low|multi_person",-11.039838982667,1
68,"web|simple|low|multi_person",-8.79194757114429,1
69,"web|simple|low|multi_person",-9.08168584931874,1
70,"web|simple|low|multi_person",-10.2497492535536,1
71,"web|simple|low|multi_person",-14.6819544039824,1
72,"web|simple|low|multi_person",-11.9505610200863,1
73,"web|simple|low|multi_person",-11.2861019173657,1
74,"web|simple|low|multi_person",-14.4129877415593,1
75,"web|simple|low|multi_person",-10.8470719260574,1
76,"web|simple|low|multi_person",-10.3116126498105,1
77,"web|simple|low|multi_person",-13.9594835153717,1
78,"web|simple|low|multi_person",-13.6379189098019,1
79,"web|simple|low|multi_person",-13.1514291538125,1
80,"web|simple|low|multi_person",-11.7139324034385,1
81,"web|simple|low|multi_person",-9.47158225237859,1
82,"web|simple|low|multi_person",-15.4677999700838,1
83,"web|simple|low|multi_person",-9.67763114167096,1
84,"web|simple|low|multi_person",-10.3060724685389,1
86,"web|simple|low|multi_person",-10.0671299787306,1
87,"web|simple|low|multi_person",-9.54177551108741,1
88,"web|simple|low|multi_person",-10.5376926396218,1
90,"web|simple|low|multi_person",-9.34752144655895,1
91,"web|simple|low|multi_person",-10.3780654877371,1
92,"web|simple|low|multi_person",-17.1674581272568,1
93,"web|simple|low|multi_person",-10.0383927733932,1
94,"web|simple|low|multi_person",-10.268227739315,1
95,"web|simple|low|multi_person",-10.1649753318131,1
96,"web|simple|low|multi_person",-10.5286046390289,1
97,"web|simple|low|multi_person",-12.2595584833489,1
98,"web|simple|low|multi_person",-11.1751746542699,1
99,"web|simple|low|multi_person",-12.2088974191757,1
100,"web|simple|low|multi_person",-11.5448114693469,1
101,"web|simple|low|multi_person",-10.8538999592881,1
103,"web|simple|low|multi_person",-13.5956259114951,1
104,"web|simple|low|multi_person",-9.76704813427774,1
105,"web|simple|low|multi_person",-13.2795706228031,1
106,"web|simple|low|multi_person",-9.43852638582303,1
107,"web|simple|low|multi_person",-13.9449091930288,1
108,"web|simple|low|multi_person",-10.7846581261363,1
109,"web|simple|low|multi_person",-10.7084889141683,1
110,"web|simple|low|multi_person",-10.3176782005161,1
111,"web|simple|low|multi_person",-14.4408017436302,1
112,"web|simple|low|multi_person",-15.2597622648028,1
113,"web|simple|low|multi_person",-9.54201546743146,1
114,"web|simple|low|multi_person",-9.57155649738612,1
115,"web|simple|low|multi_person",-11.3394688714867,1
116,"web|simple|low|multi_person",-15.9862381468909,1
117,"web|simple|low|multi_person",-16.4545845796507,1
118,"web|simple|low|multi_person",-8.54683146641966,1
119,"web|simple|low|multi_person",-14.4120950507947,1
120,"web|simple|low|multi_person",-10.7436968979141,1
121,"web|simple|low|multi_person",-9.73059181098341,1
122,"web|simple|low|multi_person",-12.8116012254864,1
123,"web|simple|low|multi_person",-9.99564998666931,1
124,"web|simple|low|multi_person",-12.0085045722595,1
125,"web|simple|low|multi_person",-14.0452245249272,1
126,"web|simple|low|multi_person",-12.3511515430445,1
127,"web|simple|low|multi_person",-10.2918043040856,1
128,"web|simple|low|multi_person",-9.86467002034727,1
130,"web|simple|low|multi_person",-10.6356111034573,1
131,"web|simple|low|multi_person",-8.51168614977788,1
132,"web|simple|low|multi_person",-9.8810746898285,1
133,"web|simple|low|multi_person",-10.4552663913896,1
135,"web|simple|low|multi_person",-9.32380580147452,1
136,"web|simple|low|multi_person",-14.8240419441327,1
137,"web|simple|low|multi_person",-20.2940240014959,1
138,"web|simple|low|multi_person",-10.1153637530481,1
140,"web|simple|low|multi_person",-21.2661840530882,1
141,"web|simple|low|multi_person",-13.0573565611816,1
142,"web|simple|low|multi_person",-11.9340512246252,1
143,"web|simple|low|multi_person",-10.3490302365743,1
144,"web|simple|low|multi_person",-10.7558976380949,1
145,"web|simple|low|multi_person",-9.77827547374213,1
146,"web|simple|low|multi_person",-9.85246046286977,1
147,"web|simple|low|multi_person",-18.2597752557377,1
148,"web|simple|low|multi_person",-12.1070148475515,1
149,"web|simple|low|multi_person",-11.1946023817114,1
150,"web|simple|low|multi_person",-18.5144036369285,1
151,"web|simple|low|multi_person",-10.0590075917571,1
152,"web|simple|low|multi_person",-9.85507092078752,1
153,"web|simple|low|multi_person",-11.4995934098682,1
154,"web|simple|low|multi_person",-11.8565087704097,1
155,"web|simple|low|multi_person",-11.7649064351721,1
156,"web|simple|low|multi_person",-10.4899248082153,1
157,"web|simple|low|multi_person",-16.3266002044237,1
158,"web|simple|low|multi_person",-10.4257741407131,1
159,"web|simple|low|multi_person",-10.1204579268245,1
160,"web|simple|low|multi_person",-8.53546168945383,1
162,"web|simple|low|multi_person",-10.8495042023741,1
163,"web|simple|low|multi_person",-15.8333207673975,1
164,"web|simple|low|multi_person",-10.6937028722054,1
165,"web|simple|low|multi_person",-14.3898464333457,1
166,"web|simple|low|multi_person",-10.9955094629488,1
167,"web|simple|low|multi_person",-9.52484443886603,1
168,"web|simple|low|multi_person",-13.4589503820961,1
169,"web|simple|low|multi_person",-8.82228971557549,1
170,"web|simple|low|multi_person",-10.1647243373977,1
171,"web|simple|low|multi_person",-10.8757575554539,1
172,"web|simple|low|multi_person",-11.2405972372452,1
173,"web|simple|low|multi_person",-9.34155121018392,1
174,"web|simple|low|multi_person",-8.94876047578807,1
175,"web|simple|low|multi_person",-10.144096443061,1
176,"web|simple|low|multi_person",-10.3061751320563,1
177,"web|simple|low|multi_person",-13.6199289637621,1
178,"web|simple|low|multi_person",-13.1899223531057,1
179,"web|simple|low|multi_person",-10.3598756450991,1
180,"web|simple|low|multi_person",-10.4720886067668,1
181,"web|simple|low|multi_person",-8.97256098206417,1
183,"web|simple|low|multi_person",-10.1624535985626,1
184,"web|simple|low|multi_person",-16.2847865636976,1
186,"web|simple|low|multi_person",-11.110180689955,1
187,"web|simple|low|multi_person",-9.85084593629286,1
188,"web|simple|low|multi_person",-10.4373998249992,1
189,"web|simple|low|multi_person",-9.86937441232694,1
190,"web|simple|low|multi_person",-12.7410586220794,1
191,"web|simple|low|multi_person",-10.761674090001,1
192,"web|simple|low|multi_person",-9.95414426953041,1
194,"web|simple|low|multi_person",-13.9047824496664,1
195,"web|simple|low|multi_person",-13.8479388232151,1
196,"web|simple|low|multi_person",-8.62286017777309,1
197,"web|simple|low|multi_person",-11.2509161705719,1
198,"web|simple|low|multi_person",-10.5808189454347,1
199,"web|simple|low|multi_person",-11.8796082437944,1
200,"web|simple|low|multi_person",-14.2658347163576,1
201,"web|simple|low|multi_person",-10.3855264021668,1
202,"web|simple|low|multi_person",-10.2087496038896,1
203,"web|simple|low|multi_person",-9.30787647598692,1
205,"web|simple|low|multi_person",-10.4148732098848,1
206,"web|simple|low|multi_person",-11.5948208074736,1
207,"web|simple|low|multi_person",-17.2544835698026,1
208,"web|simple|low|multi_person",-13.4565902052746,1
209,"web|simple|low|multi_person",-11.1962989608032,1
210,"web|simple|low|multi_person",-7.75950566659834,1
211,"web|simple|low|multi_person",-18.7953522037697,1
212,"web|simple|low|multi_person",-9.71741040009247,1
213,"web|simple|low|multi_person",-10.1612170537785,1
214,"web|simple|low|multi_person",-11.7008930589838,1
217,"web|simple|low|multi_person",-8.73683085177341,1
219,"web|simple|low|multi_person",-10.7708962371941,1
220,"web|simple|low|multi_person",-8.81057954175078,1
221,"web|simple|low|multi_person",-10.2059202814696,1
222,"web|simple|low|multi_person",-8.1110653328294,1
223,"web|simple|low|multi_person",-10.1897268091773,1
224,"web|simple|low|multi_person",-18.2549157528941,1
225,"web|simple|low|multi_person",-9.18273925418382,1
