"resp.id","profile","incentive","frequency"
2,"web|simple|low|multi_person",-3.37272842804931,1
3,"web|simple|low|multi_person",-4.08752786030431,1
4,"web|simple|low|multi_person",-3.54978201245387,1
5,"web|simple|low|multi_person",-3.47474060925937,1
6,"web|simple|low|multi_person",-4.04497014104335,1
7,"web|simple|low|multi_person",-3.48531456335493,1
8,"web|simple|low|multi_person",-2.77008384561753,1
9,"web|simple|low|multi_person",-3.12304177629246,1
10,"web|simple|low|multi_person",-4.08857731444793,1
11,"web|simple|low|multi_person",-5.51148014965045,1
13,"web|simple|low|multi_person",-3.92712162389872,1
14,"web|simple|low|multi_person",-3.44370542732839,1
15,"web|simple|low|multi_person",-3.66278256520487,1
16,"web|simple|low|multi_person",-2.61092389248516,1
17,"web|simple|low|multi_person",-3.32365474303337,1
18,"web|simple|low|multi_person",-2.90229186614313,1
19,"web|simple|low|multi_person",-4.03494165126297,1
20,"web|simple|low|multi_person",-1.43600211320125,1
21,"web|simple|low|multi_person",-4.23675575258565,1
22,"web|simple|low|multi_person",-2.57299729166638,1
23,"web|simple|low|multi_person",-2.46479666707713,1
24,"web|simple|low|multi_person",-3.94691233884465,1
26,"web|simple|low|multi_person",-3.80840824247806,1
27,"web|simple|low|multi_person",-2.48637129197935,1
28,"web|simple|low|multi_person",-3.16909039817744,1
29,"web|simple|low|multi_person",-4.05042863845074,1
31,"web|simple|low|multi_person",-3.01649477609557,1
32,"web|simple|low|multi_person",-5.42754733472801,1
33,"web|simple|low|multi_person",-3.34873487545197,1
35,"web|simple|low|multi_person",-2.4874332457766,1
36,"web|simple|low|multi_person",-3.31844368568782,1
37,"web|simple|low|multi_person",-2.10107199899003,1
38,"web|simple|low|multi_person",-4.72859032784697,1
39,"web|simple|low|multi_person",-2.45787496489791,1
41,"web|simple|low|multi_person",-3.09363489994566,1
42,"web|simple|low|multi_person",-3.15324307331494,1
43,"web|simple|low|multi_person",-3.51852803503207,1
44,"web|simple|low|multi_person",-2.58203518229595,1
45,"web|simple|low|multi_person",-3.29189131236055,1
46,"web|simple|low|multi_person",-3.25352767315685,1
47,"web|simple|low|multi_person",-2.93477815457787,1
48,"web|simple|low|multi_person",-3.90897816229392,1
49,"web|simple|low|multi_person",-2.78430298642711,1
50,"web|simple|low|multi_person",-2.79764343560801,1
51,"web|simple|low|multi_person",-3.43700818128885,1
52,"web|simple|low|multi_person",-3.30111679866985,1
53,"web|simple|low|multi_person",-3.03859315679864,1
54,"web|simple|low|multi_person",-3.49876599988625,1
55,"web|simple|low|multi_person",-4.25709440817093,1
56,"web|simple|low|multi_person",-4.04106037017102,1
57,"web|simple|low|multi_person",-3.33635573338401,1
58,"web|simple|low|multi_person",-2.74278818502775,1
60,"web|simple|low|multi_person",-2.89797972307295,1
61,"web|simple|low|multi_person",-4.69816206938048,1
62,"web|simple|low|multi_person",-2.34681912599804,1
63,"web|simple|low|multi_person",-3.04238284656367,1
64,"web|simple|low|multi_person",-3.00257954423358,1
65,"web|simple|low|multi_person",-4.43109280396068,1
68,"web|simple|low|multi_person",-2.87355202871901,1
69,"web|simple|low|multi_person",-3.89964932567538,1
70,"web|simple|low|multi_person",-2.43600388254102,1
71,"web|simple|low|multi_person",-3.82451072782909,1
72,"web|simple|low|multi_person",-3.23949032722514,1
73,"web|simple|low|multi_person",-5.31467717950262,1
74,"web|simple|low|multi_person",-5.63514312912958,1
75,"web|simple|low|multi_person",-3.08223039512193,1
76,"web|simple|low|multi_person",-3.73575718734037,1
77,"web|simple|low|multi_person",-5.973077556902,1
78,"web|simple|low|multi_person",-3.11179347474393,1
79,"web|simple|low|multi_person",-2.75786883776869,1
80,"web|simple|low|multi_person",-2.00414428084471,1
81,"web|simple|low|multi_person",-2.56400650641394,1
82,"web|simple|low|multi_person",-5.00896712960078,1
83,"web|simple|low|multi_person",-2.57664398505653,1
84,"web|simple|low|multi_person",-2.94734031835542,1
86,"web|simple|low|multi_person",-3.72906943966884,1
87,"web|simple|low|multi_person",-2.47742320947852,1
88,"web|simple|low|multi_person",-2.96287237427793,1
90,"web|simple|low|multi_person",-2.43177779907175,1
91,"web|simple|low|multi_person",-3.51378089975225,1
92,"web|simple|low|multi_person",-3.55450158188328,1
93,"web|simple|low|multi_person",-3.97525574394791,1
94,"web|simple|low|multi_person",-4.02048048257232,1
95,"web|simple|low|multi_person",-2.76633432026226,1
96,"web|simple|low|multi_person",-3.61896899300598,1
97,"web|simple|low|multi_person",-2.49761015834693,1
98,"web|simple|low|multi_person",-2.98084889153608,1
99,"web|simple|low|multi_person",-3.2852941965748,1
100,"web|simple|low|multi_person",-2.75513208588591,1
101,"web|simple|low|multi_person",-5.8082340886948,1
103,"web|simple|low|multi_person",-3.31224545132551,1
104,"web|simple|low|multi_person",-3.30575532484896,1
105,"web|simple|low|multi_person",-3.04658060002963,1
106,"web|simple|low|multi_person",-3.54268733736677,1
107,"web|simple|low|multi_person",-4.79089160370127,1
108,"web|simple|low|multi_person",-1.84838011119073,1
109,"web|simple|low|multi_person",-3.04405445522011,1
110,"web|simple|low|multi_person",-3.15413296365514,1
111,"web|simple|low|multi_person",-2.58055992187929,1
112,"web|simple|low|multi_person",-5.15022039077156,1
113,"web|simple|low|multi_person",-4.99323835804938,1
114,"web|simple|low|multi_person",-2.84027982641175,1
115,"web|simple|low|multi_person",-2.62350546539712,1
116,"web|simple|low|multi_person",-3.1354060747393,1
117,"web|simple|low|multi_person",-2.6740678720493,1
118,"web|simple|low|multi_person",-3.05823108712216,1
119,"web|simple|low|multi_person",-5.35389074507503,1
120,"web|simple|low|multi_person",-3.41088121133396,1
121,"web|simple|low|multi_person",-3.31033121794223,1
122,"web|simple|low|multi_person",-4.74997971701228,1
123,"web|simple|low|multi_person",-3.41387417307188,1
124,"web|simple|low|multi_person",-3.58294681094442,1
125,"web|simple|low|multi_person",-4.17108695061007,1
126,"web|simple|low|multi_person",-5.31044786865604,1
127,"web|simple|low|multi_person",-3.0811636609309,1
128,"web|simple|low|multi_person",-3.2637280577511,1
130,"web|simple|low|multi_person",-4.20089415051521,1
131,"web|simple|low|multi_person",-4.67501608219176,1
132,"web|simple|low|multi_person",-3.01326639174106,1
133,"web|simple|low|multi_person",-3.33854960422963,1
135,"web|simple|low|multi_person",-3.50774443611809,1
136,"web|simple|low|multi_person",-3.41972429974005,1
137,"web|simple|low|multi_person",-4.95254372745247,1
138,"web|simple|low|multi_person",-3.01701792918974,1
140,"web|simple|low|multi_person",-3.6025515711873,1
141,"web|simple|low|multi_person",-2.96237432776705,1
142,"web|simple|low|multi_person",-4.3795601367095,1
143,"web|simple|low|multi_person",-3.39516928508268,1
144,"web|simple|low|multi_person",-2.74949060105958,1
145,"web|simple|low|multi_person",-3.40422213533189,1
146,"web|simple|low|multi_person",-4.27052808728751,1
147,"web|simple|low|multi_person",-3.03391826706392,1
148,"web|simple|low|multi_person",-3.13564308371583,1
149,"web|simple|low|multi_person",-4.69823264967605,1
150,"web|simple|low|multi_person",-2.76301509315509,1
151,"web|simple|low|multi_person",-2.59531741419485,1
152,"web|simple|low|multi_person",-3.38698763015522,1
153,"web|simple|low|multi_person",-3.78046086671299,1
154,"web|simple|low|multi_person",-3.0254003137529,1
155,"web|simple|low|multi_person",-4.14608309686264,1
156,"web|simple|low|multi_person",-3.57993743444782,1
157,"web|simple|low|multi_person",-2.74252817602084,1
158,"web|simple|low|multi_person",-3.57794891335325,1
159,"web|simple|low|multi_person",-3.9250001578513,1
160,"web|simple|low|multi_person",-3.47385923574024,1
162,"web|simple|low|multi_person",-2.47603943400402,1
163,"web|simple|low|multi_person",-3.90710249753852,1
164,"web|simple|low|multi_person",-2.68147037372694,1
165,"web|simple|low|multi_person",-2.98655506042708,1
166,"web|simple|low|multi_person",-2.53681728716278,1
167,"web|simple|low|multi_person",-2.90245829543774,1
168,"web|simple|low|multi_person",-4.64571217180214,1
169,"web|simple|low|multi_person",-3.96830586122019,1
170,"web|simple|low|multi_person",-3.449929081529,1
171,"web|simple|low|multi_person",-4.82140658687376,1
172,"web|simple|low|multi_person",-3.08991230347843,1
173,"web|simple|low|multi_person",-3.47245673502308,1
174,"web|simple|low|multi_person",-5.79966546465345,1
175,"web|simple|low|multi_person",-3.97485344253743,1
176,"web|simple|low|multi_person",-3.61665424267818,1
177,"web|simple|low|multi_person",-3.0184889216952,1
178,"web|simple|low|multi_person",-4.22635883519525,1
179,"web|simple|low|multi_person",-2.78461188353673,1
180,"web|simple|low|multi_person",-3.54369088996213,1
181,"web|simple|low|multi_person",-3.14591659036567,1
183,"web|simple|low|multi_person",-2.96366509373366,1
184,"web|simple|low|multi_person",-4.38810455361167,1
186,"web|simple|low|multi_person",-2.79217364625683,1
187,"web|simple|low|multi_person",-3.48980273060848,1
188,"web|simple|low|multi_person",-2.54852959343722,1
189,"web|simple|low|multi_person",-2.95311481849114,1
190,"web|simple|low|multi_person",-3.97254158128085,1
191,"web|simple|low|multi_person",-3.51434752912221,1
192,"web|simple|low|multi_person",-5.58515485708145,1
194,"web|simple|low|multi_person",-4.02775842337131,1
195,"web|simple|low|multi_person",-3.0307943172587,1
196,"web|simple|low|multi_person",-3.1609252763211,1
197,"web|simple|low|multi_person",-2.73006909857514,1
198,"web|simple|low|multi_person",-2.57965614992777,1
199,"web|simple|low|multi_person",-3.70120935350606,1
200,"web|simple|low|multi_person",-6.06793502568586,1
201,"web|simple|low|multi_person",-3.24135966836722,1
202,"web|simple|low|multi_person",-3.11154922805645,1
203,"web|simple|low|multi_person",-3.16905805333125,1
205,"web|simple|low|multi_person",-5.36013934450365,1
206,"web|simple|low|multi_person",-2.71284059743672,1
207,"web|simple|low|multi_person",-3.22707105101351,1
208,"web|simple|low|multi_person",-3.1698929643428,1
209,"web|simple|low|multi_person",-3.22245927413652,1
210,"web|simple|low|multi_person",-3.4070870762852,1
211,"web|simple|low|multi_person",-3.51297461630987,1
212,"web|simple|low|multi_person",-4.6362822867329,1
213,"web|simple|low|multi_person",-3.94397351009159,1
214,"web|simple|low|multi_person",-5.54805556091867,1
217,"web|simple|low|multi_person",-3.82160471240401,1
219,"web|simple|low|multi_person",-2.18655765295502,1
220,"web|simple|low|multi_person",-3.8039127883877,1
221,"web|simple|low|multi_person",-3.36522207013082,1
222,"web|simple|low|multi_person",-2.6473652787573,1
223,"web|simple|low|multi_person",-2.65554684020567,1
224,"web|simple|low|multi_person",-4.0157605851747,1
225,"web|simple|low|multi_person",-3.05298576608007,1
226,"web|simple|low|multi_person",-3.55976157911068,1
227,"web|simple|low|multi_person",-2.47533207197962,1
228,"web|simple|low|multi_person",-3.22438261283171,1
230,"web|simple|low|multi_person",-3.82003040924623,1
231,"web|simple|low|multi_person",-4.36067144713038,1
232,"web|simple|low|multi_person",-2.7521536300523,1
233,"web|simple|low|multi_person",-3.42887872278823,1
234,"web|simple|low|multi_person",-3.19401559548534,1
235,"web|simple|low|multi_person",-1.92987160379874,1
236,"web|simple|low|multi_person",-3.18171499700274,1
237,"web|simple|low|multi_person",-2.75267238800345,1
238,"web|simple|low|multi_person",-6.30609719256634,1
239,"web|simple|low|multi_person",-4.14178683833195,1
240,"web|simple|low|multi_person",-3.48175567291214,1
241,"web|simple|low|multi_person",-3.68141891609408,1
242,"web|simple|low|multi_person",-3.18396232348608,1
243,"web|simple|low|multi_person",-3.48042084483242,1
245,"web|simple|low|multi_person",-3.10250770124477,1
246,"web|simple|low|multi_person",-3.65714132296005,1
247,"web|simple|low|multi_person",-2.450515736185,1
248,"web|simple|low|multi_person",-5.9830610410004,1
249,"web|simple|low|multi_person",-4.69678622548575,1
250,"web|simple|low|multi_person",-3.09937594849701,1
251,"web|simple|low|multi_person",-3.46091324435031,1
252,"web|simple|low|multi_person",-3.29132048066952,1
253,"web|simple|low|multi_person",-7.13555137997717,1
254,"web|simple|low|multi_person",-4.29296161276759,1
256,"web|simple|low|multi_person",-3.47076765806471,1
258,"web|simple|low|multi_person",-2.94466300140606,1
259,"web|simple|low|multi_person",-4.45493578208614,1
260,"web|simple|low|multi_person",-3.35021001552502,1
261,"web|simple|low|multi_person",-3.16372797145758,1
263,"web|simple|low|multi_person",-1.81264725928766,1
264,"web|simple|low|multi_person",-3.09760264812465,1
265,"web|simple|low|multi_person",-3.48102275459025,1
266,"web|simple|low|multi_person",-2.62902558163116,1
267,"web|simple|low|multi_person",-3.4798686355956,1
268,"web|simple|low|multi_person",-2.90110596357833,1
269,"web|simple|low|multi_person",-4.51360588805686,1
270,"web|simple|low|multi_person",-2.70575650099195,1
271,"web|simple|low|multi_person",-3.92661031788305,1
272,"web|simple|low|multi_person",-2.36449840591761,1
273,"web|simple|low|multi_person",-3.03107923952956,1
274,"web|simple|low|multi_person",-5.64534094694546,1
275,"web|simple|low|multi_person",-2.94307139501074,1
276,"web|simple|low|multi_person",-3.11976025150407,1
277,"web|simple|low|multi_person",-5.11208808131215,1
279,"web|simple|low|multi_person",-3.16574521323774,1
280,"web|simple|low|multi_person",-3.46758593986494,1
281,"web|simple|low|multi_person",-2.76927248807634,1
282,"web|simple|low|multi_person",-3.59129582949316,1
283,"web|simple|low|multi_person",-5.10889320576991,1
284,"web|simple|low|multi_person",-2.49077140069742,1
285,"web|simple|low|multi_person",-2.84419510635672,1
286,"web|simple|low|multi_person",-3.66737370406489,1
287,"web|simple|low|multi_person",-2.75197516588417,1
288,"web|simple|low|multi_person",-5.2073744704185,1
289,"web|simple|low|multi_person",-2.62358025862306,1
290,"web|simple|low|multi_person",-4.59638609656211,1
291,"web|simple|low|multi_person",-3.26046594635787,1
292,"web|simple|low|multi_person",-4.89870604979387,1
293,"web|simple|low|multi_person",-3.91737081464377,1
294,"web|simple|low|multi_person",-3.32535431929082,1
295,"web|simple|low|multi_person",-3.03784359733865,1
296,"web|simple|low|multi_person",-5.08299381538888,1
297,"web|simple|low|multi_person",-2.85626229526737,1
298,"web|simple|low|multi_person",-2.85907478533726,1
299,"web|simple|low|multi_person",-3.4175094233491,1
301,"web|simple|low|multi_person",-3.16576827668246,1
302,"web|simple|low|multi_person",-3.15006022817114,1
303,"web|simple|low|multi_person",-5.35199488855147,1
304,"web|simple|low|multi_person",-4.83000781429287,1
305,"web|simple|low|multi_person",-3.31216772589994,1
306,"web|simple|low|multi_person",-3.43709070128869,1
307,"web|simple|low|multi_person",-3.94322722751731,1
308,"web|simple|low|multi_person",-3.39980262821158,1
309,"web|simple|low|multi_person",-4.38711164959979,1
310,"web|simple|low|multi_person",-3.1334629324393,1
311,"web|simple|low|multi_person",-3.80069112995842,1
312,"web|simple|low|multi_person",-2.54404039535621,1
313,"web|simple|low|multi_person",-6.50859676748323,1
314,"web|simple|low|multi_person",-4.71623342965313,1
