"resp.id","profile","incentive","frequency"
2,"web|simple|low|multi_person",-4.5513688951623,1
3,"web|simple|low|multi_person",-5.65044035843268,1
4,"web|simple|low|multi_person",-3.95912272897395,1
5,"web|simple|low|multi_person",-3.38960192283386,1
6,"web|simple|low|multi_person",-4.09244406618088,1
7,"web|simple|low|multi_person",-4.33632509227883,1
8,"web|simple|low|multi_person",-5.52652452316194,1
9,"web|simple|low|multi_person",-2.74324357623481,1
10,"web|simple|low|multi_person",-5.6928737345789,1
11,"web|simple|low|multi_person",-4.37595073761011,1
13,"web|simple|low|multi_person",-3.61591115249039,1
14,"web|simple|low|multi_person",-4.92173352450109,1
15,"web|simple|low|multi_person",-3.31577038813956,1
16,"web|simple|low|multi_person",-4.05328163939216,1
17,"web|simple|low|multi_person",-3.4361927570719,1
18,"web|simple|low|multi_person",-7.13634879396334,1
19,"web|simple|low|multi_person",-4.34848264130913,1
20,"web|simple|low|multi_person",-4.56913659529399,1
21,"web|simple|low|multi_person",-4.42739116732622,1
22,"web|simple|low|multi_person",-4.80680126424005,1
23,"web|simple|low|multi_person",-3.41386659279648,1
24,"web|simple|low|multi_person",-3.39398631105276,1
26,"web|simple|low|multi_person",-3.31053328469343,1
27,"web|simple|low|multi_person",-5.78260505365841,1
28,"web|simple|low|multi_person",-3.57071690594936,1
29,"web|simple|low|multi_person",-2.79592207772708,1
31,"web|simple|low|multi_person",-3.74117732607077,1
32,"web|simple|low|multi_person",-6.57754049880057,1
33,"web|simple|low|multi_person",-4.2828559403106,1
35,"web|simple|low|multi_person",-3.75221992692372,1
36,"web|simple|low|multi_person",-2.89757836869823,1
37,"web|simple|low|multi_person",-6.73075433968145,1
38,"web|simple|low|multi_person",-6.17297536396384,1
39,"web|simple|low|multi_person",-5.09047605524248,1
41,"web|simple|low|multi_person",-4.11197856513496,1
42,"web|simple|low|multi_person",-3.40637458955221,1
43,"web|simple|low|multi_person",-6.10013393527921,1
44,"web|simple|low|multi_person",-7.19971064100822,1
45,"web|simple|low|multi_person",-5.00683710283261,1
46,"web|simple|low|multi_person",-4.31828344902537,1
47,"web|simple|low|multi_person",-4.12606624365738,1
48,"web|simple|low|multi_person",-3.54890805235608,1
49,"web|simple|low|multi_person",-4.18619039176651,1
50,"web|simple|low|multi_person",-5.99366591818087,1
51,"web|simple|low|multi_person",-4.71801226041577,1
52,"web|simple|low|multi_person",-5.49113749605556,1
53,"web|simple|low|multi_person",-2.38884403177755,1
54,"web|simple|low|multi_person",-3.23534493163966,1
55,"web|simple|low|multi_person",-3.12531612857667,1
56,"web|simple|low|multi_person",-6.69725048644883,1
57,"web|simple|low|multi_person",-3.65370691152076,1
58,"web|simple|low|multi_person",-3.75860362019793,1
60,"web|simple|low|multi_person",-3.41840736150581,1
61,"web|simple|low|multi_person",-2.41100411053625,1
62,"web|simple|low|multi_person",-2.57172653587926,1
63,"web|simple|low|multi_person",-4.53054080105578,1
64,"web|simple|low|multi_person",-3.78640102281658,1
65,"web|simple|low|multi_person",-4.1648426791546,1
68,"web|simple|low|multi_person",-2.98253653053493,1
69,"web|simple|low|multi_person",-2.53133417762952,1
70,"web|simple|low|multi_person",-4.27387318335349,1
71,"web|simple|low|multi_person",-4.11245725096634,1
72,"web|simple|low|multi_person",-4.10485556179342,1
73,"web|simple|low|multi_person",-3.5106419844048,1
74,"web|simple|low|multi_person",-7.02648016363372,1
75,"web|simple|low|multi_person",-4.53415493644408,1
76,"web|simple|low|multi_person",-4.30238241671173,1
77,"web|simple|low|multi_person",-3.60329779951643,1
78,"web|simple|low|multi_person",-3.54182638567323,1
79,"web|simple|low|multi_person",-3.23619477251443,1
80,"web|simple|low|multi_person",-4.11639707899745,1
81,"web|simple|low|multi_person",-3.09635448174528,1
82,"web|simple|low|multi_person",-3.72677906740877,1
83,"web|simple|low|multi_person",-3.83623623699714,1
84,"web|simple|low|multi_person",-3.31078543843254,1
86,"web|simple|low|multi_person",-4.53739439480307,1
87,"web|simple|low|multi_person",-3.41846496261373,1
88,"web|simple|low|multi_person",-6.61883676346308,1
90,"web|simple|low|multi_person",-3.90805319289767,1
91,"web|simple|low|multi_person",-2.96040099578957,1
92,"web|simple|low|multi_person",-3.74329500220708,1
93,"web|simple|low|multi_person",-4.02537967884577,1
94,"web|simple|low|multi_person",-5.16653089585518,1
95,"web|simple|low|multi_person",-3.32412754756299,1
96,"web|simple|low|multi_person",-4.19038320707282,1
97,"web|simple|low|multi_person",-2.95711474722531,1
98,"web|simple|low|multi_person",-2.98078760877859,1
99,"web|simple|low|multi_person",-4.99199096606964,1
100,"web|simple|low|multi_person",-4.8287718700638,1
101,"web|simple|low|multi_person",-4.11628526442699,1
103,"web|simple|low|multi_person",-3.75721932090059,1
104,"web|simple|low|multi_person",-3.84669251483251,1
105,"web|simple|low|multi_person",-3.10132941086108,1
106,"web|simple|low|multi_person",-3.19138744210288,1
107,"web|simple|low|multi_person",-6.2943203815754,1
108,"web|simple|low|multi_person",-4.25410184892608,1
109,"web|simple|low|multi_person",-3.89819311601691,1
110,"web|simple|low|multi_person",-3.51034485570369,1
111,"web|simple|low|multi_person",-4.72576778074581,1
112,"web|simple|low|multi_person",-4.90075780407694,1
113,"web|simple|low|multi_person",-5.55608434874376,1
114,"web|simple|low|multi_person",-6.86567932051574,1
115,"web|simple|low|multi_person",-5.91127434262281,1
116,"web|simple|low|multi_person",-4.50639827164026,1
117,"web|simple|low|multi_person",-4.44380376162826,1
118,"web|simple|low|multi_person",-3.22376949057687,1
119,"web|simple|low|multi_person",-2.96242655752982,1
120,"web|simple|low|multi_person",-3.35035241757947,1
121,"web|simple|low|multi_person",-3.59986915885818,1
122,"web|simple|low|multi_person",-5.23238785925687,1
123,"web|simple|low|multi_person",-3.98383637830017,1
124,"web|simple|low|multi_person",-3.77171566265438,1
125,"web|simple|low|multi_person",-3.2626748639075,1
126,"web|simple|low|multi_person",-6.193185078721,1
127,"web|simple|low|multi_person",-4.81198620319896,1
128,"web|simple|low|multi_person",-2.67551593363604,1
130,"web|simple|low|multi_person",-4.57235343258755,1
131,"web|simple|low|multi_person",-3.22499503738352,1
132,"web|simple|low|multi_person",-3.95069308260985,1
133,"web|simple|low|multi_person",-3.47747454305114,1
135,"web|simple|low|multi_person",-4.17607104033365,1
136,"web|simple|low|multi_person",-4.13583396275577,1
137,"web|simple|low|multi_person",-4.22068848586487,1
138,"web|simple|low|multi_person",-3.55332924922303,1
140,"web|simple|low|multi_person",-3.69506559939663,1
141,"web|simple|low|multi_person",-4.15859861990956,1
142,"web|simple|low|multi_person",-5.01942288522566,1
143,"web|simple|low|multi_person",-2.70551422472571,1
144,"web|simple|low|multi_person",-2.32598942498133,1
145,"web|simple|low|multi_person",-3.6675368032396,1
146,"web|simple|low|multi_person",-2.558116997162,1
147,"web|simple|low|multi_person",-3.60442961450913,1
148,"web|simple|low|multi_person",-4.22457488862318,1
149,"web|simple|low|multi_person",-2.96011031725081,1
150,"web|simple|low|multi_person",-6.76329917718672,1
151,"web|simple|low|multi_person",-5.17668545879946,1
