resp.id,ques,alt,choice,none,accessibility,authentication,customisation,video,adopters
2,1,1,1,2,web,two_factor,low,one_to_one,0.76
2,1,2,0,2,web,multi_factor,low,multi_person,0.23
2,1,3,0,2,web,simple,low,multi_person,0.45
2,1,4,0,1,0,0,0,0,0
2,2,1,3,2,mobile,multi_factor,high,one_to_one,0.45
2,2,2,0,2,web,two_factor,medium,one_to_one,0.45
2,2,3,0,2,mobile,multi_factor,low,one_to_one,0.76
2,2,4,0,1,0,0,0,0,0
2,3,1,4,2,mobile,multi_factor,medium,one_to_one,0.01
2,3,2,0,2,mobile,simple,medium,one_to_one,0.01
2,3,3,0,2,web,two_factor,high,multi_person,0.23
2,3,4,0,1,0,0,0,0,0
2,4,1,1,2,mobile,multi_factor,low,multi_person,0.45
2,4,2,0,2,mobile,multi_factor,low,one_to_one,0.45
2,4,3,0,2,mobile,two_factor,high,one_to_one,0.23
2,4,4,0,1,0,0,0,0,0
2,5,1,2,2,web,two_factor,high,multi_person,0.01
2,5,2,0,2,mobile,multi_factor,medium,multi_person,0.98
2,5,3,0,2,mobile,two_factor,low,multi_person,0.01
2,5,4,0,1,0,0,0,0,0
2,6,1,3,2,mobile,simple,low,multi_person,0.23
2,6,2,0,2,web,two_factor,high,one_to_one,0.01
2,6,3,0,2,web,multi_factor,high,multi_person,0.23
2,6,4,0,1,0,0,0,0,0
2,7,1,1,2,mobile,multi_factor,low,multi_person,0.76
2,7,2,0,2,mobile,multi_factor,medium,one_to_one,0.45
2,7,3,0,2,mobile,two_factor,medium,one_to_one,0.23
2,7,4,0,1,0,0,0,0,0
2,8,1,3,2,mobile,two_factor,high,multi_person,0.01
2,8,2,0,2,web,multi_factor,high,multi_person,0.45
2,8,3,0,2,mobile,two_factor,medium,multi_person,0.45
2,8,4,0,1,0,0,0,0,0
2,9,1,3,2,web,simple,low,multi_person,0.01
2,9,2,0,2,mobile,simple,low,multi_person,0.01
2,9,3,0,2,web,multi_factor,medium,multi_person,0.23
2,9,4,0,1,0,0,0,0,0
