resp.id,ques,alt,accessibility,authentication,customisation,video,adopters,none,choice
2,1,1,mobile,simple,high,multi_person,0.76,2,2
2,1,2,web,two_factor,high,one_to_one,0.98,2,0
2,1,3,mobile,multi_factor,low,one_to_one,0.76,2,0
2,1,4,0,0,0,0,0,1,0
2,2,1,mobile,multi_factor,low,multi_person,0.01,2,2
2,2,2,web,two_factor,high,multi_person,0.76,2,0
2,2,3,mobile,simple,medium,one_to_one,0.23,2,0
2,2,4,0,0,0,0,0,1,0
2,3,1,web,simple,medium,one_to_one,0.01,2,2
2,3,2,web,simple,low,multi_person,0.45,2,0
2,3,3,mobile,two_factor,high,multi_person,0.23,2,0
2,3,4,0,0,0,0,0,1,0
2,4,1,mobile,multi_factor,medium,one_to_one,0.98,2,1
2,4,2,web,multi_factor,medium,multi_person,0.45,2,0
2,4,3,web,two_factor,low,one_to_one,0.23,2,0
2,4,4,0,0,0,0,0,1,0
2,5,1,mobile,two_factor,low,one_to_one,0.45,2,2
2,5,2,mobile,simple,high,multi_person,0.76,2,0
2,5,3,web,simple,high,multi_person,0.01,2,0
2,5,4,0,0,0,0,0,1,0
2,6,1,web,multi_factor,low,one_to_one,0.23,2,2
2,6,2,mobile,multi_factor,medium,multi_person,0.98,2,0
2,6,3,web,multi_factor,high,one_to_one,0.76,2,0
2,6,4,0,0,0,0,0,1,0
2,7,1,web,two_factor,low,one_to_one,0.01,2,2
2,7,2,mobile,two_factor,high,one_to_one,0.76,2,0
2,7,3,web,simple,medium,multi_person,0.98,2,0
2,7,4,0,0,0,0,0,1,0
2,8,1,mobile,simple,low,multi_person,0.98,2,1
2,8,2,web,multi_factor,high,one_to_one,0.01,2,0
2,8,3,mobile,two_factor,medium,multi_person,0.76,2,0
2,8,4,0,0,0,0,0,1,0
2,9,1,mobile,multi_factor,high,multi_person,0.01,2,2
2,9,2,mobile,two_factor,low,one_to_one,0.98,2,0
2,9,3,web,two_factor,medium,multi_person,0.45,2,0
2,9,4,0,0,0,0,0,1,0
2,10,1,mobile,two_factor,medium,multi_person,0.23,2,2
2,10,2,mobile,multi_factor,high,one_to_one,0.98,2,0
2,10,3,web,simple,low,one_to_one,0.45,2,0
2,10,4,0,0,0,0,0,1,0
2,11,1,web,multi_factor,high,multi_person,0.01,2,2
2,11,2,mobile,simple,low,one_to_one,0.76,2,0
2,11,3,web,simple,medium,one_to_one,0.01,2,0
2,11,4,0,0,0,0,0,1,0
2,12,1,web,simple,medium,multi_person,0.45,2,2
2,12,2,mobile,two_factor,high,multi_person,0.45,2,0
2,12,3,mobile,multi_factor,medium,one_to_one,0.23,2,0
2,12,4,0,0,0,0,0,1,0
2,13,1,web,multi_factor,low,one_to_one,0.45,2,2
2,13,2,mobile,multi_factor,high,multi_person,0.98,2,0
2,13,3,web,simple,high,multi_person,0.23,2,0
2,13,4,0,0,0,0,0,1,0
2,14,1,mobile,multi_factor,high,multi_person,0.98,2,1
2,14,2,web,multi_factor,low,one_to_one,0.45,2,0
2,14,3,web,simple,high,multi_person,0.23,2,0
2,14,4,0,0,0,0,0,1,0
3,1,1,web,two_factor,low,one_to_one,0.76,2,3
3,1,2,web,multi_factor,low,one_to_one,0.23,2,0
3,1,3,web,simple,high,multi_person,0.98,2,0
3,1,4,0,0,0,0,0,1,0
3,2,1,mobile,multi_factor,high,multi_person,0.76,2,3
3,2,2,web,two_factor,low,multi_person,0.01,2,0
3,2,3,mobile,simple,medium,one_to_one,0.98,2,0
3,2,4,0,0,0,0,0,1,0
3,3,1,web,simple,high,one_to_one,0.98,2,1
3,3,2,mobile,multi_factor,low,multi_person,0.45,2,0
3,3,3,web,two_factor,medium,one_to_one,0.76,2,0
3,3,4,0,0,0,0,0,1,0
3,4,1,web,two_factor,high,multi_person,0.23,2,3
3,4,2,mobile,simple,high,one_to_one,0.45,2,0
3,4,3,web,multi_factor,low,multi_person,0.45,2,0
3,4,4,0,0,0,0,0,1,0
3,5,1,mobile,simple,high,one_to_one,0.01,2,3
3,5,2,mobile,two_factor,medium,multi_person,0.23,2,0
3,5,3,mobile,multi_factor,low,one_to_one,0.45,2,0
3,5,4,0,0,0,0,0,1,0
3,6,1,web,two_factor,medium,one_to_one,0.76,2,3
3,6,2,mobile,simple,low,multi_person,0.23,2,0
3,6,3,mobile,multi_factor,medium,one_to_one,0.98,2,0
3,6,4,0,0,0,0,0,1,0
3,7,1,web,simple,high,one_to_one,0.23,2,2
3,7,2,mobile,two_factor,medium,multi_person,0.76,2,0
3,7,3,web,multi_factor,medium,multi_person,0.01,2,0
3,7,4,0,0,0,0,0,1,0
3,8,1,mobile,two_factor,low,multi_person,0.98,2,1
3,8,2,web,two_factor,low,multi_person,0.01,2,0
3,8,3,web,simple,high,one_to_one,0.23,2,0
3,8,4,0,0,0,0,0,1,0
3,9,1,web,simple,low,multi_person,0.98,2,1
3,9,2,web,multi_factor,medium,multi_person,0.01,2,0
3,9,3,mobile,multi_factor,high,one_to_one,0.76,2,0
3,9,4,0,0,0,0,0,1,0
3,10,1,mobile,simple,low,multi_person,0.45,2,3
3,10,2,web,multi_factor,medium,one_to_one,0.76,2,0
3,10,3,mobile,two_factor,high,one_to_one,0.98,2,0
3,10,4,0,0,0,0,0,1,0
3,11,1,mobile,multi_factor,high,multi_person,0.45,2,1
3,11,2,mobile,simple,medium,one_to_one,0.23,2,0
3,11,3,web,two_factor,low,one_to_one,0.45,2,0
3,11,4,0,0,0,0,0,1,0
3,12,1,mobile,simple,medium,multi_person,0.45,2,3
3,12,2,web,simple,high,multi_person,0.01,2,0
3,12,3,web,two_factor,low,one_to_one,0.98,2,0
3,12,4,0,0,0,0,0,1,0
3,13,1,mobile,multi_factor,high,multi_person,0.98,2,1
3,13,2,web,simple,high,multi_person,0.23,2,0
3,13,3,web,multi_factor,low,one_to_one,0.45,2,0
3,13,4,0,0,0,0,0,1,0
3,14,1,web,multi_factor,low,one_to_one,0.45,2,3
3,14,2,web,simple,high,multi_person,0.23,2,0
3,14,3,mobile,multi_factor,high,multi_person,0.98,2,0
3,14,4,0,0,0,0,0,1,0
4,1,1,mobile,multi_factor,low,one_to_one,0.23,2,3
4,1,2,web,multi_factor,medium,multi_person,0.01,2,0
4,1,3,mobile,two_factor,high,multi_person,0.76,2,0
4,1,4,0,0,0,0,0,1,0
4,2,1,web,multi_factor,high,one_to_one,0.45,2,3
4,2,2,web,two_factor,medium,multi_person,0.01,2,0
4,2,3,mobile,simple,low,multi_person,0.98,2,0
4,2,4,0,0,0,0,0,1,0
4,3,1,mobile,simple,low,multi_person,0.23,2,3
4,3,2,mobile,two_factor,medium,one_to_one,0.45,2,0
4,3,3,web,multi_factor,high,one_to_one,0.76,2,0
4,3,4,0,0,0,0,0,1,0
4,4,1,mobile,multi_factor,medium,one_to_one,0.01,2,3
4,4,2,web,multi_factor,high,multi_person,0.23,2,0
4,4,3,web,simple,medium,one_to_one,0.98,2,0
4,4,4,0,0,0,0,0,1,0
4,5,1,web,simple,low,one_to_one,0.76,2,3
4,5,2,mobile,two_factor,low,multi_person,0.01,2,0
4,5,3,mobile,two_factor,medium,multi_person,0.98,2,0
4,5,4,0,0,0,0,0,1,0
4,6,1,mobile,two_factor,high,multi_person,0.23,2,3
4,6,2,mobile,simple,medium,one_to_one,0.76,2,0
4,6,3,web,multi_factor,low,one_to_one,0.23,2,0
4,6,4,0,0,0,0,0,1,0
4,7,1,web,simple,high,multi_person,0.01,2,2
4,7,2,web,multi_factor,high,multi_person,0.76,2,0
4,7,3,web,two_factor,low,one_to_one,0.98,2,0
4,7,4,0,0,0,0,0,1,0
4,8,1,mobile,simple,medium,one_to_one,0.01,2,3
4,8,2,web,two_factor,low,multi_person,0.23,2,0
4,8,3,web,two_factor,high,one_to_one,0.45,2,0
4,8,4,0,0,0,0,0,1,0
4,9,1,mobile,multi_factor,high,one_to_one,0.23,2,3
4,9,2,mobile,simple,low,multi_person,0.01,2,0
4,9,3,web,multi_factor,low,multi_person,0.76,2,0
4,9,4,0,0,0,0,0,1,0
4,10,1,mobile,two_factor,high,multi_person,0.98,2,3
4,10,2,web,simple,low,one_to_one,0.45,2,0
4,10,3,web,multi_factor,medium,one_to_one,0.76,2,0
4,10,4,0,0,0,0,0,1,0
4,11,1,web,two_factor,high,one_to_one,0.45,2,1
4,11,2,mobile,simple,medium,multi_person,0.23,2,0
4,11,3,mobile,multi_factor,medium,one_to_one,0.45,2,0
4,11,4,0,0,0,0,0,1,0
4,12,1,mobile,multi_factor,low,multi_person,0.98,2,1
4,12,2,web,simple,medium,multi_person,0.45,2,0
4,12,3,web,two_factor,medium,one_to_one,0.01,2,0
4,12,4,0,0,0,0,0,1,0
4,13,1,web,multi_factor,low,one_to_one,0.45,2,2
4,13,2,mobile,multi_factor,high,multi_person,0.98,2,0
4,13,3,web,simple,high,multi_person,0.23,2,0
4,13,4,0,0,0,0,0,1,0
4,14,1,web,simple,high,multi_person,0.23,2,2
4,14,2,mobile,multi_factor,high,multi_person,0.98,2,0
4,14,3,web,multi_factor,low,one_to_one,0.45,2,0
4,14,4,0,0,0,0,0,1,0
5,1,1,web,two_factor,high,multi_person,0.76,2,1
5,1,2,mobile,multi_factor,low,multi_person,0.01,2,0
5,1,3,mobile,two_factor,high,one_to_one,0.98,2,0
5,1,4,0,0,0,0,0,1,0
5,2,1,web,multi_factor,high,multi_person,0.45,2,1
5,2,2,web,simple,low,one_to_one,0.76,2,0
5,2,3,mobile,simple,medium,one_to_one,0.98,2,0
5,2,4,0,0,0,0,0,1,0
5,3,1,web,simple,medium,multi_person,0.45,2,3
5,3,2,mobile,multi_factor,low,one_to_one,0.23,2,0
5,3,3,mobile,two_factor,high,one_to_one,0.76,2,0
5,3,4,0,0,0,0,0,1,0
5,4,1,web,multi_factor,low,multi_person,0.98,2,1
5,4,2,mobile,simple,high,multi_person,0.23,2,0
5,4,3,mobile,multi_factor,high,one_to_one,0.01,2,0
5,4,4,0,0,0,0,0,1,0
5,5,1,web,simple,high,one_to_one,0.23,2,2
5,5,2,web,two_factor,medium,multi_person,0.98,2,0
5,5,3,mobile,two_factor,low,multi_person,0.01,2,0
5,5,4,0,0,0,0,0,1,0
5,6,1,mobile,multi_factor,low,multi_person,0.01,2,3
5,6,2,mobile,simple,medium,one_to_one,0.76,2,0
5,6,3,web,two_factor,medium,multi_person,0.76,2,0
5,6,4,0,0,0,0,0,1,0
5,7,1,mobile,multi_factor,high,one_to_one,0.01,2,2
5,7,2,web,two_factor,medium,multi_person,0.98,2,0
5,7,3,web,simple,low,one_to_one,0.98,2,0
5,7,4,0,0,0,0,0,1,0
5,8,1,mobile,two_factor,low,one_to_one,0.76,2,1
5,8,2,mobile,simple,medium,one_to_one,0.45,2,0
5,8,3,mobile,multi_factor,high,multi_person,0.23,2,0
5,8,4,0,0,0,0,0,1,0
5,9,1,web,two_factor,high,one_to_one,0.23,2,3
5,9,2,mobile,simple,high,multi_person,0.76,2,0
5,9,3,web,multi_factor,medium,one_to_one,0.98,2,0
5,9,4,0,0,0,0,0,1,0
5,10,1,web,simple,medium,one_to_one,0.45,2,2
5,10,2,mobile,two_factor,low,one_to_one,0.76,2,0
5,10,3,web,multi_factor,low,multi_person,0.23,2,0
5,10,4,0,0,0,0,0,1,0
5,11,1,mobile,simple,high,multi_person,0.76,2,2
5,11,2,web,multi_factor,low,multi_person,0.98,2,0
5,11,3,web,two_factor,medium,multi_person,0.45,2,0
5,11,4,0,0,0,0,0,1,0
5,12,1,mobile,multi_factor,medium,multi_person,0.23,2,3
5,12,2,mobile,two_factor,high,one_to_one,0.01,2,0
5,12,3,web,simple,low,one_to_one,0.45,2,0
5,12,4,0,0,0,0,0,1,0
5,13,1,web,multi_factor,low,one_to_one,0.45,2,2
5,13,2,mobile,multi_factor,high,multi_person,0.98,2,0
5,13,3,web,simple,high,multi_person,0.23,2,0
5,13,4,0,0,0,0,0,1,0
5,14,1,web,multi_factor,low,one_to_one,0.45,2,2
5,14,2,mobile,multi_factor,high,multi_person,0.98,2,0
5,14,3,web,simple,high,multi_person,0.23,2,0
5,14,4,0,0,0,0,0,1,0
6,1,1,mobile,simple,low,multi_person,0.45,2,3
6,1,2,web,multi_factor,medium,one_to_one,0.01,2,0
6,1,3,mobile,multi_factor,high,multi_person,0.98,2,0
6,1,4,0,0,0,0,0,1,0
6,2,1,mobile,two_factor,medium,multi_person,0.76,2,1
6,2,2,web,simple,high,multi_person,0.76,2,0
6,2,3,web,two_factor,low,one_to_one,0.45,2,0
6,2,4,0,0,0,0,0,1,0
6,3,1,web,two_factor,medium,one_to_one,0.01,2,2
6,3,2,web,simple,low,multi_person,0.98,2,0
6,3,3,mobile,multi_factor,high,one_to_one,0.23,2,0
6,3,4,0,0,0,0,0,1,0
6,4,1,mobile,two_factor,low,one_to_one,0.23,2,2
6,4,2,web,multi_factor,high,multi_person,0.01,2,0
6,4,3,mobile,simple,medium,one_to_one,0.45,2,0
6,4,4,0,0,0,0,0,1,0
6,5,1,mobile,simple,low,one_to_one,0.98,2,2
6,5,2,web,two_factor,medium,multi_person,0.45,2,0
6,5,3,mobile,two_factor,high,multi_person,0.01,2,0
6,5,4,0,0,0,0,0,1,0
6,6,1,web,multi_factor,low,one_to_one,0.01,2,3
6,6,2,web,simple,high,one_to_one,0.23,2,0
6,6,3,mobile,multi_factor,medium,multi_person,0.98,2,0
6,6,4,0,0,0,0,0,1,0
6,7,1,web,two_factor,high,multi_person,0.23,2,3
6,7,2,mobile,two_factor,low,one_to_one,0.98,2,0
6,7,3,web,multi_factor,medium,one_to_one,0.76,2,0
6,7,4,0,0,0,0,0,1,0
6,8,1,mobile,simple,medium,multi_person,0.23,2,2
6,8,2,web,multi_factor,high,one_to_one,0.45,2,0
6,8,3,mobile,two_factor,high,multi_person,0.01,2,0
6,8,4,0,0,0,0,0,1,0
6,9,1,web,multi_factor,medium,multi_person,0.76,2,1
6,9,2,web,simple,low,multi_person,0.01,2,0
6,9,3,mobile,simple,high,one_to_one,0.45,2,0
6,9,4,0,0,0,0,0,1,0
6,10,1,mobile,multi_factor,low,one_to_one,0.01,2,3
6,10,2,mobile,simple,high,multi_person,0.23,2,0
6,10,3,web,two_factor,low,one_to_one,0.76,2,0
6,10,4,0,0,0,0,0,1,0
6,11,1,mobile,multi_factor,low,multi_person,0.45,2,2
6,11,2,web,simple,high,multi_person,0.98,2,0
6,11,3,web,two_factor,medium,one_to_one,0.01,2,0
6,11,4,0,0,0,0,0,1,0
6,12,1,mobile,multi_factor,medium,one_to_one,0.76,2,3
6,12,2,web,two_factor,medium,multi_person,0.23,2,0
6,12,3,mobile,two_factor,low,one_to_one,0.98,2,0
6,12,4,0,0,0,0,0,1,0
6,13,1,web,multi_factor,low,one_to_one,0.45,2,3
6,13,2,web,simple,high,multi_person,0.23,2,0
6,13,3,mobile,multi_factor,high,multi_person,0.98,2,0
6,13,4,0,0,0,0,0,1,0
6,14,1,web,simple,high,multi_person,0.23,2,2
6,14,2,mobile,multi_factor,high,multi_person,0.98,2,0
