"resp.id","profile","resistance","beta_si"
2,"web|simple|low|multi_person",-17.178812860669,16.4549518271956
2,"mobile|two_factor|low|multi_person",-14.7390914471575,16.4549518271956
2,"web|two_factor|low|multi_person",-19.9239893822147,16.4549518271956
2,"mobile|multi_factor|low|multi_person",-17.0409495125465,16.4549518271956
2,"mobile|simple|medium|multi_person",-13.7057798991066,16.4549518271956
2,"mobile|multi_factor|medium|multi_person",-18.7528144860413,16.4549518271956
2,"web|multi_factor|medium|multi_person",-23.9377124210985,16.4549518271956
2,"mobile|simple|high|multi_person",-14.418728137624,16.4549518271956
2,"web|simple|high|multi_person",-19.6036260726812,16.4549518271956
2,"mobile|two_factor|high|multi_person",-17.1639046591697,16.4549518271956
2,"mobile|multi_factor|high|multi_person",-19.4657627245587,16.4549518271956
2,"mobile|simple|low|one_to_one",-9.70222598915558,16.4549518271956
2,"web|simple|low|one_to_one",-14.8871239242128,16.4549518271956
2,"mobile|multi_factor|low|one_to_one",-14.7492605760903,16.4549518271956
2,"web|multi_factor|low|one_to_one",-19.9341585111475,16.4549518271956
2,"mobile|simple|medium|one_to_one",-11.4140909626504,16.4549518271956
2,"mobile|two_factor|medium|one_to_one",-14.159267484196,16.4549518271956
2,"mobile|multi_factor|medium|one_to_one",-16.4611255495851,16.4549518271956
2,"web|multi_factor|medium|one_to_one",-21.6460234846423,16.4549518271956
2,"web|simple|high|one_to_one",-17.311937136225,16.4549518271956
2,"mobile|two_factor|high|one_to_one",-14.8722157227134,16.4549518271956
2,"mobile|multi_factor|high|one_to_one",-17.1740737881025,16.4549518271956
2,"web|multi_factor|high|one_to_one",-22.3589717231597,16.4549518271956
2,"web|simple|medium|multi_person",-18.8906778341638,16.4549518271956
2,"mobile|two_factor|medium|multi_person",-16.4509564206522,16.4549518271956
2,"web|two_factor|high|multi_person",-22.3488025942268,16.4549518271956
2,"web|multi_factor|high|multi_person",-24.6506606596159,16.4549518271956
2,"web|simple|medium|one_to_one",-16.5989888977075,16.4549518271956
2,"web|two_factor|medium|one_to_one",-19.3441654192532,16.4549518271956
2,"mobile|simple|high|one_to_one",-12.1270392011678,16.4549518271956
2,"mobile|simple|low|multi_person",-11.9939149256118,16.4549518271956
2,"web|multi_factor|low|multi_person",-22.2258474476037,16.4549518271956
2,"web|two_factor|medium|multi_person",-21.6358543557094,16.4549518271956
2,"mobile|two_factor|low|one_to_one",-12.4474025107013,16.4549518271956
2,"web|two_factor|high|one_to_one",-20.0571136577706,16.4549518271956
2,"web|two_factor|low|one_to_one",-17.6323004457584,16.4549518271956
3,"web|simple|low|multi_person",-12.4771089048882,33.6151365245531
3,"mobile|two_factor|low|multi_person",-11.8135748529899,33.6151365245531
3,"web|two_factor|low|multi_person",-12.9855258140741,33.6151365245531
3,"mobile|multi_factor|low|multi_person",-13.7627734966076,33.6151365245531
3,"mobile|simple|medium|multi_person",-13.1110619527451,33.6151365245531
3,"mobile|multi_factor|medium|multi_person",-15.5686775055488,33.6151365245531
3,"web|multi_factor|medium|multi_person",-16.740628466633,33.6151365245531
3,"mobile|simple|high|multi_person",-13.4403057311589,33.6151365245531
3,"web|simple|high|multi_person",-14.6122566922432,33.6151365245531
3,"mobile|two_factor|high|multi_person",-13.9487226403448,33.6151365245531
3,"mobile|multi_factor|high|multi_person",-15.8979212839626,33.6151365245531
3,"mobile|simple|low|one_to_one",-8.6546698297573,33.6151365245531
3,"web|simple|low|one_to_one",-9.82662079084157,33.6151365245531
3,"mobile|multi_factor|low|one_to_one",-11.112285382561,33.6151365245531
3,"web|multi_factor|low|one_to_one",-12.2842363436453,33.6151365245531
3,"mobile|simple|medium|one_to_one",-10.4605738386984,33.6151365245531
3,"mobile|two_factor|medium|one_to_one",-10.9689907478843,33.6151365245531
3,"mobile|multi_factor|medium|one_to_one",-12.9181893915021,33.6151365245531
3,"web|multi_factor|medium|one_to_one",-14.0901403525864,33.6151365245531
3,"web|simple|high|one_to_one",-11.9617685781965,33.6151365245531
3,"mobile|two_factor|high|one_to_one",-11.2982345262982,33.6151365245531
3,"mobile|multi_factor|high|one_to_one",-13.247433169916,33.6151365245531
3,"web|multi_factor|high|one_to_one",-14.4193841310002,33.6151365245531
3,"web|simple|medium|multi_person",-14.2830129138293,33.6151365245531
3,"mobile|two_factor|medium|multi_person",-13.619478861931,33.6151365245531
3,"web|two_factor|high|multi_person",-15.1206736014291,33.6151365245531
3,"web|multi_factor|high|multi_person",-17.0698722450469,33.6151365245531
3,"web|simple|medium|one_to_one",-11.6325247997827,33.6151365245531
3,"web|two_factor|medium|one_to_one",-12.1409417089686,33.6151365245531
3,"mobile|simple|high|one_to_one",-10.7898176171122,33.6151365245531
3,"mobile|simple|low|multi_person",-11.3051579438039,33.6151365245531
3,"web|multi_factor|low|multi_person",-14.9347244576919,33.6151365245531
3,"web|two_factor|medium|multi_person",-14.7914298230153,33.6151365245531
3,"mobile|two_factor|low|one_to_one",-9.16308673894322,33.6151365245531
3,"web|two_factor|high|one_to_one",-12.4701854873824,33.6151365245531
