"resp.id","profile","threshold","frequency"
2,"web|simple|low|multi_person",0,1
3,"web|simple|low|multi_person",0,1
4,"web|simple|low|multi_person",0,1
5,"web|simple|low|multi_person",0,1
6,"web|simple|low|multi_person",0,1
7,"web|simple|low|multi_person",0,1
8,"web|simple|low|multi_person",0,1
9,"web|simple|low|multi_person",0,1
10,"web|simple|low|multi_person",0,1
11,"web|simple|low|multi_person",0,1
13,"web|simple|low|multi_person",0,1
14,"web|simple|low|multi_person",0,1
15,"web|simple|low|multi_person",0,1
16,"web|simple|low|multi_person",0,1
17,"web|simple|low|multi_person",0,1
18,"web|simple|low|multi_person",0,1
19,"web|simple|low|multi_person",0,1
20,"web|simple|low|multi_person",0.03558745487119,1
21,"web|simple|low|multi_person",0,1
22,"web|simple|low|multi_person",0,1
23,"web|simple|low|multi_person",0,1
24,"web|simple|low|multi_person",0,1
26,"web|simple|low|multi_person",0,1
27,"web|simple|low|multi_person",0,1
28,"web|simple|low|multi_person",0,1
29,"web|simple|low|multi_person",0,1
31,"web|simple|low|multi_person",0,1
32,"web|simple|low|multi_person",0,1
33,"web|simple|low|multi_person",0,1
35,"web|simple|low|multi_person",0,1
36,"web|simple|low|multi_person",0,1
37,"web|simple|low|multi_person",0,1
38,"web|simple|low|multi_person",0,1
39,"web|simple|low|multi_person",0,1
41,"web|simple|low|multi_person",0,1
42,"web|simple|low|multi_person",0,1
43,"web|simple|low|multi_person",0,1
44,"web|simple|low|multi_person",0,1
45,"web|simple|low|multi_person",0,1
46,"web|simple|low|multi_person",0,1
47,"web|simple|low|multi_person",0,1
48,"web|simple|low|multi_person",0,1
49,"web|simple|low|multi_person",0,1
50,"web|simple|low|multi_person",0,1
51,"web|simple|low|multi_person",0,1
52,"web|simple|low|multi_person",0,1
53,"web|simple|low|multi_person",0,1
54,"web|simple|low|multi_person",0,1
55,"web|simple|low|multi_person",0,1
56,"web|simple|low|multi_person",0,1
57,"web|simple|low|multi_person",0,1
58,"web|simple|low|multi_person",0,1
60,"web|simple|low|multi_person",0,1
61,"web|simple|low|multi_person",0,1
62,"web|simple|low|multi_person",0,1
63,"web|simple|low|multi_person",0,1
64,"web|simple|low|multi_person",0,1
65,"web|simple|low|multi_person",0,1
68,"web|simple|low|multi_person",0,1
69,"web|simple|low|multi_person",0,1
70,"web|simple|low|multi_person",0,1
71,"web|simple|low|multi_person",0,1
72,"web|simple|low|multi_person",0,1
73,"web|simple|low|multi_person",0,1
74,"web|simple|low|multi_person",0,1
75,"web|simple|low|multi_person",0,1
76,"web|simple|low|multi_person",0,1
77,"web|simple|low|multi_person",0,1
78,"web|simple|low|multi_person",0,1
79,"web|simple|low|multi_person",0,1
80,"web|simple|low|multi_person",0,1
81,"web|simple|low|multi_person",0,1
82,"web|simple|low|multi_person",0,1
83,"web|simple|low|multi_person",0,1
84,"web|simple|low|multi_person",0,1
86,"web|simple|low|multi_person",0,1
87,"web|simple|low|multi_person",0,1
88,"web|simple|low|multi_person",0,1
90,"web|simple|low|multi_person",0.00832577081224617,1
91,"web|simple|low|multi_person",0,1
92,"web|simple|low|multi_person",0,1
93,"web|simple|low|multi_person",0,1
94,"web|simple|low|multi_person",0,1
95,"web|simple|low|multi_person",0,1
96,"web|simple|low|multi_person",0,1
97,"web|simple|low|multi_person",0,1
98,"web|simple|low|multi_person",0,1
99,"web|simple|low|multi_person",0,1
100,"web|simple|low|multi_person",0,1
101,"web|simple|low|multi_person",0,1
103,"web|simple|low|multi_person",0,1
104,"web|simple|low|multi_person",0,1
105,"web|simple|low|multi_person",0,1
106,"web|simple|low|multi_person",0,1
107,"web|simple|low|multi_person",0,1
108,"web|simple|low|multi_person",0,1
109,"web|simple|low|multi_person",0,1
110,"web|simple|low|multi_person",0,1
111,"web|simple|low|multi_person",0,1
112,"web|simple|low|multi_person",0,1
113,"web|simple|low|multi_person",0,1
114,"web|simple|low|multi_person",0,1
115,"web|simple|low|multi_person",0,1
116,"web|simple|low|multi_person",0,1
117,"web|simple|low|multi_person",0,1
118,"web|simple|low|multi_person",0,1
119,"web|simple|low|multi_person",0,1
120,"web|simple|low|multi_person",0,1
121,"web|simple|low|multi_person",0,1
122,"web|simple|low|multi_person",0,1
123,"web|simple|low|multi_person",0,1
124,"web|simple|low|multi_person",0,1
125,"web|simple|low|multi_person",0,1
126,"web|simple|low|multi_person",0,1
127,"web|simple|low|multi_person",0,1
128,"web|simple|low|multi_person",0,1
130,"web|simple|low|multi_person",0,1
131,"web|simple|low|multi_person",0,1
132,"web|simple|low|multi_person",0,1
133,"web|simple|low|multi_person",0,1
135,"web|simple|low|multi_person",0,1
136,"web|simple|low|multi_person",0,1
137,"web|simple|low|multi_person",0,1
